TIME,DATA_VALUE,retrieved_at
19990506,4.75,2026-08-21
19990507,4.75,2026-08-21
19990508,4.75,2026-08-21
19990509,4.75,2026-08-21
19990510,4.75,2026-08-21
19990511,4.75,2026-08-21
19990512,4.75,2026-08-21
19990513,4.75,2026-08-21
19990514,4.75,2026-08-21
19990515,4.75,2026-08-21
19990516,4.75,2026-08-21
19990517,4.75,2026-08-21
19990518,4.75,2026-08-21
19990519,4.75,2026-08-21
19990520,4.75,2026-08-21
19990521,4.75,2026-08-21
19990522,4.75,2026-08-21
19990523,4.75,2026-08-21
19990524,4.75,2026-08-21
19990525,4.75,2026-08-21
19990526,4.75,2026-08-21
19990527,4.75,2026-08-21
19990528,4.75,2026-08-21
19990529,4.75,2026-08-21
19990530,4.75,2026-08-21
19990531,4.75,2026-08-21
19990601,4.75,2026-08-21
19990602,4.75,2026-08-21
19990603,4.75,2026-08-21
19990604,4.75,2026-08-21
19990605,4.75,2026-08-21
19990606,4.75,2026-08-21
19990607,4.75,2026-08-21
19990608,4.75,2026-08-21
19990609,4.75,2026-08-21
19990610,4.75,2026-08-21
19990611,4.75,2026-08-21
19990612,4.75,2026-08-21
19990613,4.75,2026-08-21
19990614,4.75,2026-08-21
19990615,4.75,2026-08-21
19990616,4.75,2026-08-21
19990617,4.75,2026-08-21
19990618,4.75,2026-08-21
19990619,4.75,2026-08-21
19990620,4.75,2026-08-21
19990621,4.75,2026-08-21
19990622,4.75,2026-08-21
19990623,4.75,2026-08-21
19990624,4.75,2026-08-21
19990625,4.75,2026-08-21
19990626,4.75,2026-08-21
19990627,4.75,2026-08-21
19990628,4.75,2026-08-21
19990629,4.75,2026-08-21
19990630,4.75,2026-08-21
19990701,4.75,2026-08-21
19990702,4.75,2026-08-21
19990703,4.75,2026-08-21
19990704,4.75,2026-08-21
19990705,4.75,2026-08-21
19990706,4.75,2026-08-21
19990707,4.75,2026-08-21
19990708,4.75,2026-08-21
19990709,4.75,2026-08-21
19990710,4.75,2026-08-21
19990711,4.75,2026-08-21
19990712,4.75,2026-08-21
19990713,4.75,2026-08-21
19990714,4.75,2026-08-21
19990715,4.75,2026-08-21
19990716,4.75,2026-08-21
19990717,4.75,2026-08-21
19990718,4.75,2026-08-21
19990719,4.75,2026-08-21
19990720,4.75,2026-08-21
19990721,4.75,2026-08-21
19990722,4.75,2026-08-21
19990723,4.75,2026-08-21
19990724,4.75,2026-08-21
19990725,4.75,2026-08-21
19990726,4.75,2026-08-21
19990727,4.75,2026-08-21
19990728,4.75,2026-08-21
19990729,4.75,2026-08-21
19990730,4.75,2026-08-21
19990731,4.75,2026-08-21
19990801,4.75,2026-08-21
19990802,4.75,2026-08-21
19990803,4.75,2026-08-21
19990804,4.75,2026-08-21
19990805,4.75,2026-08-21
19990806,4.75,2026-08-21
19990807,4.75,2026-08-21
19990808,4.75,2026-08-21
19990809,4.75,2026-08-21
19990810,4.75,2026-08-21
19990811,4.75,2026-08-21
19990812,4.75,2026-08-21
19990813,4.75,2026-08-21
19990814,4.75,2026-08-21
19990815,4.75,2026-08-21
19990816,4.75,2026-08-21
19990817,4.75,2026-08-21
19990818,4.75,2026-08-21
19990819,4.75,2026-08-21
19990820,4.75,2026-08-21
19990821,4.75,2026-08-21
19990822,4.75,2026-08-21
19990823,4.75,2026-08-21
19990824,4.75,2026-08-21
19990825,4.75,2026-08-21
19990826,4.75,2026-08-21
19990827,4.75,2026-08-21
19990828,4.75,2026-08-21
19990829,4.75,2026-08-21
19990830,4.75,2026-08-21
19990831,4.75,2026-08-21
19990901,4.75,2026-08-21
19990902,4.75,2026-08-21
19990903,4.75,2026-08-21
19990904,4.75,2026-08-21
19990905,4.75,2026-08-21
19990906,4.75,2026-08-21
19990907,4.75,2026-08-21
19990908,4.75,2026-08-21
19990909,4.75,2026-08-21
19990910,4.75,2026-08-21
19990911,4.75,2026-08-21
19990912,4.75,2026-08-21
19990913,4.75,2026-08-21
19990914,4.75,2026-08-21
19990915,4.75,2026-08-21
19990916,4.75,2026-08-21
19990917,4.75,2026-08-21
19990918,4.75,2026-08-21
19990919,4.75,2026-08-21
19990920,4.75,2026-08-21
19990921,4.75,2026-08-21
19990922,4.75,2026-08-21
19990923,4.75,2026-08-21
19990924,4.75,2026-08-21
19990925,4.75,2026-08-21
19990926,4.75,2026-08-21
19990927,4.75,2026-08-21
19990928,4.75,2026-08-21
19990929,4.75,2026-08-21
19990930,4.75,2026-08-21
19991001,4.75,2026-08-21
19991002,4.75,2026-08-21
19991003,4.75,2026-08-21
19991004,4.75,2026-08-21
19991005,4.75,2026-08-21
19991006,4.75,2026-08-21
19991007,4.75,2026-08-21
19991008,4.75,2026-08-21
19991009,4.75,2026-08-21
19991010,4.75,2026-08-21
19991011,4.75,2026-08-21
19991012,4.75,2026-08-21
19991013,4.75,2026-08-21
19991014,4.75,2026-08-21
19991015,4.75,2026-08-21
19991016,4.75,2026-08-21
19991017,4.75,2026-08-21
19991018,4.75,2026-08-21
19991019,4.75,2026-08-21
19991020,4.75,2026-08-21
19991021,4.75,2026-08-21
19991022,4.75,2026-08-21
19991023,4.75,2026-08-21
19991024,4.75,2026-08-21
19991025,4.75,2026-08-21
19991026,4.75,2026-08-21
19991027,4.75,2026-08-21
19991028,4.75,2026-08-21
19991029,4.75,2026-08-21
19991030,4.75,2026-08-21
19991031,4.75,2026-08-21
19991101,4.75,2026-08-21
19991102,4.75,2026-08-21
19991103,4.75,2026-08-21
19991104,4.75,2026-08-21
19991105,4.75,2026-08-21
19991106,4.75,2026-08-21
19991107,4.75,2026-08-21
19991108,4.75,2026-08-21
19991109,4.75,2026-08-21
19991110,4.75,2026-08-21
19991111,4.75,2026-08-21
19991112,4.75,2026-08-21
19991113,4.75,2026-08-21
19991114,4.75,2026-08-21
19991115,4.75,2026-08-21
19991116,4.75,2026-08-21
