TIME,DATA_VALUE,retrieved_at
201301,5783519.63,2026-08-21
201302,8628363.74,2026-08-21
201303,9024327.09,2026-08-21
201304,9788975.11,2026-08-21
201305,8477655.05,2026-08-21
201306,8919434.37,2026-08-21
201307,8309891.12,2026-08-21
201308,10616517.38,2026-08-21
201309,7660154.49,2026-08-21
201310,9920982.25,2026-08-21
201311,10917025.9,2026-08-21
201312,8802922.05,2026-08-21
201401,5273759.96,2026-08-21
201402,7469298.36,2026-08-21
201403,11188158.23,2026-08-21
201404,12096865.84,2026-08-21
201405,9186716.08,2026-08-21
201406,9503307.6,2026-08-21
201407,9087713.94,2026-08-21
201408,8848724.7,2026-08-21
201409,11232796.27,2026-08-21
201410,15022313.29,2026-08-21
201411,12419299.86,2026-08-21
201412,7683749.34,2026-08-21
201501,8041485.29,2026-08-21
201502,7537966.16,2026-08-21
201503,18497348.56,2026-08-21
201504,15373075.37,2026-08-21
201505,13944258.52,2026-08-21
201506,17232156.8,2026-08-21
201507,13477085.72,2026-08-21
201508,14457548.92,2026-08-21
201509,11880486.26,2026-08-21
201510,21426603.02,2026-08-21
201511,17748835.65,2026-08-21
201512,12529276.13,2026-08-21
201601,7615406.29,2026-08-21
201602,9578962.41,2026-08-21
201603,13316285.03,2026-08-21
201604,15174041.51,2026-08-21
201605,14473533.22,2026-08-21
201606,14734043.43,2026-08-21
201607,12965298.76,2026-08-21
201608,12893702.18,2026-08-21
201609,13229537.91,2026-08-21
201610,13355871.59,2026-08-21
201611,16151807.56,2026-08-21
201612,14806967.11,2026-08-21
201701,7642519.16,2026-08-21
201702,10307351.31,2026-08-21
201703,12408338.27,2026-08-21
201704,11997056.81,2026-08-21
201705,10814271.35,2026-08-21
201706,12322331.36,2026-08-21
201707,12265753.83,2026-08-21
201708,13308270.4,2026-08-21
201709,12393817.76,2026-08-21
201710,9179873.95,2026-08-21
201711,13964602.46,2026-08-21
201712,12970158.57,2026-08-21
201801,9028337.71,2026-08-21
201802,7990857.33,2026-08-21
201803,14534528.57,2026-08-21
201804,13015423.43,2026-08-21
201805,14515268.35,2026-08-21
201806,10897392.06,2026-08-21
201807,11559933.49,2026-08-21
201808,12144519.31,2026-08-21
201809,9905864.88,2026-08-21
201810,11297188.79,2026-08-21
201811,11774672.18,2026-08-21
201812,10929800.18,2026-08-21
201901,8404240.15,2026-08-21
201902,8374874.72,2026-08-21
201903,11703367.83,2026-08-21
201904,11701526.88,2026-08-21
201905,11853503.06,2026-08-21
201906,11288696.2,2026-08-21
201907,9675510.03,2026-08-21
201908,11197589.98,2026-08-21
201909,8063592.27,2026-08-21
201910,12734819.98,2026-08-21
201911,11806691.6,2026-08-21
201912,13316629.87,2026-08-21
202001,6758466.92,2026-08-21
202002,8500879.09,2026-08-21
202003,13191102.92,2026-08-21
202004,12770392.38,2026-08-21
202005,13344377.51,2026-08-21
202006,13261966.52,2026-08-21
202007,14685059.16,2026-08-21
202008,9462530.57,2026-08-21
202009,12983737.95,2026-08-21
202010,9867538.44,2026-08-21
202011,12977240.13,2026-08-21
202012,15302198.05,2026-08-21
202101,8243178.81,2026-08-21
202102,11084658.3,2026-08-21
202103,15871966.38,2026-08-21
202104,13526067.23,2026-08-21
202105,14475697.1,2026-08-21
202106,13769956.45,2026-08-21
202107,12558071.87,2026-08-21
202108,10648647.14,2026-08-21
202109,13500319.08,2026-08-21
202110,14479517.79,2026-08-21
202111,13357831.05,2026-08-21
202112,17301764.57,2026-08-21
202201,8468906.49,2026-08-21
202202,7679296.33,2026-08-21
202203,12930908.76,2026-08-21
202204,12691735.12,2026-08-21
202205,11905404.27,2026-08-21
202206,11382090.45,2026-08-21
202207,12741694.57,2026-08-21
202208,10946767.15,2026-08-21
202209,11285103.22,2026-08-21
202210,8526978.57,2026-08-21
202211,9817441.62,2026-08-21
202212,7232353.34,2026-08-21
202301,5742139.33,2026-08-21
202302,6354983.3,2026-08-21
202303,8983372.84,2026-08-21
202304,6265431.25,2026-08-21
202305,5599136.39,2026-08-21
202306,6416200.13,2026-08-21
202307,5228680.24,2026-08-21
202308,6657781.5,2026-08-21
202309,6666478.13,2026-08-21
202310,7412195.63,2026-08-21
202311,10425794.19,2026-08-21
202312,9639806.09,2026-08-21
202401,6533842.97,2026-08-21
202402,7940305.85,2026-08-21
202403,7135755.99,2026-08-21
202404,8847068.17,2026-08-21
202405,7132705.92,2026-08-21
202406,6908798.14,2026-08-21
202407,6917531.7,2026-08-21
202408,8632456.16,2026-08-21
202409,6597007.44,2026-08-21
202410,9178764.2,2026-08-21
202411,7106375.12,2026-08-21
202412,8210886.54,2026-08-21
202501,4054620.94,2026-08-21
202502,4383915.27,2026-08-21
202503,6677675.97,2026-08-21
202504,8490392.26,2026-08-21
202505,6205198.38,2026-08-21
202506,6904661.59,2026-08-21
202507,8147953.94,2026-08-21
202508,5565260.71,2026-08-21
202509,7505894.05,2026-08-21
202510,5522248.85,2026-08-21
202511,7419927.58,2026-08-21
202512,9177857.53,2026-08-21
202601,4731377.9,2026-08-21
202602,4683567.17,2026-08-21
202603,7173443.31,2026-08-21
202604,8068441.1,2026-08-21
202605,7378542.68,2026-08-21
202606,8002465.21,2026-08-21
