TIME,DATA_VALUE,retrieved_at
20090102,2.87,2026-08-05
20090105,2.75,2026-08-05
20090106,2.59,2026-08-05
20090107,2.58,2026-08-05
20090108,2.98,2026-08-05
20090109,2.49,2026-08-05
20090112,2.42,2026-08-05
20090113,2.26,2026-08-05
20090114,2.22,2026-08-05
20090115,2.04,2026-08-05
20090116,2.02,2026-08-05
20090119,1.99,2026-08-05
20090120,2,2026-08-05
20090121,2.1,2026-08-05
20090122,2.51,2026-08-05
20090123,2.44,2026-08-05
20090128,2.47,2026-08-05
20090129,2.45,2026-08-05
20090130,2.41,2026-08-05
20090202,2.38,2026-08-05
20090203,2.38,2026-08-05
20090204,2.38,2026-08-05
20090205,2.39,2026-08-05
20090206,2.39,2026-08-05
20090209,2.2,2026-08-05
20090210,2.07,2026-08-05
20090211,2.06,2026-08-05
20090212,2.02,2026-08-05
20090213,1.92,2026-08-05
20090216,1.69,2026-08-05
20090217,1.76,2026-08-05
20090218,1.75,2026-08-05
20090219,1.79,2026-08-05
20090220,1.82,2026-08-05
20090223,1.76,2026-08-05
20090224,1.55,2026-08-05
20090225,1.58,2026-08-05
20090226,1.88,2026-08-05
20090227,1.87,2026-08-05
20090302,1.75,2026-08-05
20090303,1.75,2026-08-05
20090304,1.76,2026-08-05
20090305,1.75,2026-08-05
20090306,1.76,2026-08-05
20090309,1.7,2026-08-05
20090310,1.63,2026-08-05
20090311,1.64,2026-08-05
20090312,1.78,2026-08-05
20090313,1.82,2026-08-05
20090316,1.82,2026-08-05
20090317,1.94,2026-08-05
20090318,1.87,2026-08-05
20090319,1.79,2026-08-05
20090320,1.81,2026-08-05
20090323,1.74,2026-08-05
20090324,1.63,2026-08-05
20090325,1.56,2026-08-05
20090326,1.89,2026-08-05
20090327,1.76,2026-08-05
20090330,1.76,2026-08-05
20090331,1.73,2026-08-05
20090401,1.72,2026-08-05
20090402,1.65,2026-08-05
20090403,1.66,2026-08-05
20090406,1.65,2026-08-05
20090407,1.57,2026-08-05
20090408,1.58,2026-08-05
20090409,1.86,2026-08-05
20090410,1.82,2026-08-05
20090413,1.8,2026-08-05
20090414,1.79,2026-08-05
20090415,1.76,2026-08-05
20090416,1.83,2026-08-05
20090417,1.83,2026-08-05
20090420,1.86,2026-08-05
20090421,1.57,2026-08-05
20090422,1.57,2026-08-05
20090423,1.89,2026-08-05
20090424,1.84,2026-08-05
20090427,1.87,2026-08-05
20090428,1.85,2026-08-05
20090429,1.84,2026-08-05
20090430,1.85,2026-08-05
20090504,1.77,2026-08-05
20090506,1.72,2026-08-05
20090507,1.83,2026-08-05
20090508,1.92,2026-08-05
20090511,1.93,2026-08-05
20090512,1.93,2026-08-05
20090513,1.93,2026-08-05
20090514,1.93,2026-08-05
20090515,1.93,2026-08-05
20090518,1.89,2026-08-05
20090519,1.74,2026-08-05
20090520,1.73,2026-08-05
20090521,1.96,2026-08-05
20090522,1.97,2026-08-05
20090525,1.97,2026-08-05
20090526,1.97,2026-08-05
20090527,1.96,2026-08-05
20090528,1.97,2026-08-05
20090529,1.96,2026-08-05
20090601,1.95,2026-08-05
20090602,1.93,2026-08-05
20090603,1.92,2026-08-05
20090604,1.93,2026-08-05
20090605,1.93,2026-08-05
20090608,1.93,2026-08-05
20090609,1.96,2026-08-05
20090610,1.93,2026-08-05
20090611,1.96,2026-08-05
20090612,1.94,2026-08-05
20090615,1.93,2026-08-05
20090616,1.94,2026-08-05
20090617,1.95,2026-08-05
20090618,1.95,2026-08-05
20090619,1.94,2026-08-05
20090622,1.93,2026-08-05
20090623,1.82,2026-08-05
20090624,1.87,2026-08-05
20090625,1.93,2026-08-05
20090626,1.92,2026-08-05
20090629,1.92,2026-08-05
20090630,1.96,2026-08-05
20090701,1.9,2026-08-05
20090702,1.92,2026-08-05
20090703,1.92,2026-08-05
20090706,1.93,2026-08-05
20090707,1.92,2026-08-05
20090708,1.92,2026-08-05
20090709,1.93,2026-08-05
20090710,1.94,2026-08-05
20090713,1.94,2026-08-05
20090714,1.95,2026-08-05
20090715,1.95,2026-08-05
20090716,1.95,2026-08-05
20090717,1.94,2026-08-05
20090720,1.94,2026-08-05
20090721,1.93,2026-08-05
20090722,1.93,2026-08-05
20090723,1.93,2026-08-05
20090724,1.93,2026-08-05
20090727,1.93,2026-08-05
20090728,1.93,2026-08-05
20090729,1.93,2026-08-05
20090730,1.93,2026-08-05
20090731,1.95,2026-08-05
20090803,1.94,2026-08-05
20090804,1.97,2026-08-05
20090805,1.97,2026-08-05
20090806,1.98,2026-08-05
20090807,1.99,2026-08-05
20090810,1.99,2026-08-05
20090811,1.99,2026-08-05
20090812,1.98,2026-08-05
20090813,1.98,2026-08-05
20090814,1.97,2026-08-05
20090817,1.98,2026-08-05
20090818,1.97,2026-08-05
20090819,1.97,2026-08-05
20090820,1.99,2026-08-05
20090821,1.98,2026-08-05
20090824,1.98,2026-08-05
20090825,1.98,2026-08-05
20090826,1.98,2026-08-05
20090827,1.97,2026-08-05
20090828,1.97,2026-08-05
20090831,1.99,2026-08-05
20090901,1.98,2026-08-05
20090902,1.98,2026-08-05
20090903,1.97,2026-08-05
20090904,1.97,2026-08-05
20090907,1.97,2026-08-05
20090908,1.91,2026-08-05
20090909,1.98,2026-08-05
20090910,1.99,2026-08-05
20090911,1.99,2026-08-05
20090914,2,2026-08-05
20090915,1.99,2026-08-05
20090916,1.99,2026-08-05
20090917,2,2026-08-05
20090918,2,2026-08-05
20090921,1.97,2026-08-05
20090922,1.8,2026-08-05
20090923,1.79,2026-08-05
20090924,2,2026-08-05
20090925,2,2026-08-05
20090928,2,2026-08-05
20090929,2.01,2026-08-05
20090930,2,2026-08-05
20091001,2,2026-08-05
20091005,1.99,2026-08-05
20091006,2,2026-08-05
20091007,1.99,2026-08-05
20091008,1.99,2026-08-05
20091009,1.99,2026-08-05
20091012,1.99,2026-08-05
20091013,1.99,2026-08-05
20091014,1.99,2026-08-05
20091015,1.99,2026-08-05
20091016,1.98,2026-08-05
20091019,1.98,2026-08-05
20091020,1.99,2026-08-05
20091021,2.02,2026-08-05
20091022,2,2026-08-05
20091023,2,2026-08-05
20091026,2,2026-08-05
20091027,2,2026-08-05
20091028,2,2026-08-05
20091029,2.01,2026-08-05
20091030,2.01,2026-08-05
20091102,2,2026-08-05
20091103,1.99,2026-08-05
20091104,1.99,2026-08-05
20091105,2,2026-08-05
20091106,2,2026-08-05
20091109,2,2026-08-05
20091110,2.07,2026-08-05
20091111,1.98,2026-08-05
20091112,2.01,2026-08-05
20091113,2,2026-08-05
20091116,2.01,2026-08-05
20091117,1.99,2026-08-05
20091118,1.96,2026-08-05
20091119,1.95,2026-08-05
20091120,2.01,2026-08-05
20091123,2.03,2026-08-05
20091124,2,2026-08-05
20091125,1.99,2026-08-05
20091126,2.01,2026-08-05
20091127,2,2026-08-05
20091130,2.01,2026-08-05
20091201,2,2026-08-05
20091202,2,2026-08-05
20091203,2,2026-08-05
20091204,2,2026-08-05
20091207,1.99,2026-08-05
20091208,1.97,2026-08-05
20091209,1.99,2026-08-05
20091210,2.01,2026-08-05
20091211,2,2026-08-05
20091214,2,2026-08-05
20091215,2,2026-08-05
20091216,2,2026-08-05
20091217,2,2026-08-05
20091218,2,2026-08-05
20091221,2,2026-08-05
20091222,1.99,2026-08-05
20091223,1.98,2026-08-05
20091224,2,2026-08-05
20091228,2,2026-08-05
20091229,2,2026-08-05
20091230,2,2026-08-05
20091231,2.01,2026-08-05
20100104,1.98,2026-08-05
20100105,1.98,2026-08-05
20100106,1.96,2026-08-05
20100107,1.99,2026-08-05
20100108,2,2026-08-05
20100111,2,2026-08-05
20100112,2,2026-08-05
20100113,2,2026-08-05
20100114,2,2026-08-05
20100115,2,2026-08-05
20100118,1.99,2026-08-05
20100119,1.99,2026-08-05
20100120,1.97,2026-08-05
20100121,2.01,2026-08-05
20100122,2,2026-08-05
20100125,2.01,2026-08-05
20100126,2.01,2026-08-05
20100127,2,2026-08-05
20100128,2,2026-08-05
20100129,2,2026-08-05
20100201,2.01,2026-08-05
20100202,2,2026-08-05
20100203,2,2026-08-05
20100204,2,2026-08-05
20100205,2,2026-08-05
20100208,2,2026-08-05
20100209,1.99,2026-08-05
20100210,1.97,2026-08-05
20100211,2.02,2026-08-05
20100212,2.01,2026-08-05
20100216,2.01,2026-08-05
20100217,2.01,2026-08-05
20100218,2.01,2026-08-05
20100219,2.01,2026-08-05
20100222,1.98,2026-08-05
20100223,1.92,2026-08-05
20100224,1.9,2026-08-05
20100225,2.02,2026-08-05
20100226,2.01,2026-08-05
20100302,2.01,2026-08-05
20100303,2.01,2026-08-05
20100304,2.02,2026-08-05
20100305,2.01,2026-08-05
20100308,2.01,2026-08-05
20100309,2.02,2026-08-05
20100310,1.99,2026-08-05
20100311,2.02,2026-08-05
20100312,2.01,2026-08-05
20100315,2.01,2026-08-05
20100316,2,2026-08-05
20100317,2,2026-08-05
20100318,2.01,2026-08-05
20100319,2.01,2026-08-05
20100322,2,2026-08-05
20100323,2,2026-08-05
20100324,1.98,2026-08-05
20100325,2.01,2026-08-05
20100326,2,2026-08-05
20100329,1.99,2026-08-05
20100330,1.99,2026-08-05
20100331,2,2026-08-05
20100401,1.99,2026-08-05
20100402,1.99,2026-08-05
20100405,2,2026-08-05
20100406,2.02,2026-08-05
20100407,2.02,2026-08-05
20100408,2,2026-08-05
20100409,2,2026-08-05
20100412,2.01,2026-08-05
20100413,2.01,2026-08-05
20100414,2,2026-08-05
20100415,2,2026-08-05
20100416,1.99,2026-08-05
20100419,2,2026-08-05
20100420,2,2026-08-05
20100421,2.01,2026-08-05
20100422,2,2026-08-05
20100423,2,2026-08-05
20100426,2.01,2026-08-05
20100427,2.01,2026-08-05
20100428,2,2026-08-05
20100429,2,2026-08-05
20100430,2,2026-08-05
20100503,2.05,2026-08-05
20100504,2.05,2026-08-05
20100506,2.01,2026-08-05
20100507,2.01,2026-08-05
20100510,2.01,2026-08-05
20100511,2.01,2026-08-05
20100512,2.01,2026-08-05
20100513,2.01,2026-08-05
20100514,2.01,2026-08-05
20100517,2.01,2026-08-05
20100518,2.01,2026-08-05
20100519,2.01,2026-08-05
20100520,2.02,2026-08-05
20100524,2.02,2026-08-05
20100525,2.01,2026-08-05
20100526,1.99,2026-08-05
20100527,1.98,2026-08-05
20100528,1.98,2026-08-05
20100531,2,2026-08-05
20100601,1.99,2026-08-05
20100603,1.99,2026-08-05
