TIME,DATA_VALUE,retrieved_at
20090102,3.93,2026-08-05
20090105,3.92,2026-08-05
20090106,3.92,2026-08-05
20090107,3.92,2026-08-05
20090108,3.25,2026-08-05
20090109,3.18,2026-08-05
20090112,3.18,2026-08-05
20090113,3.13,2026-08-05
20090114,3.02,2026-08-05
20090115,2.98,2026-08-05
20090116,2.97,2026-08-05
20090119,2.97,2026-08-05
20090120,2.97,2026-08-05
20090121,2.97,2026-08-05
20090122,2.96,2026-08-05
20090123,2.96,2026-08-05
20090128,2.96,2026-08-05
20090129,2.96,2026-08-05
20090130,2.96,2026-08-05
20090202,2.96,2026-08-05
20090203,2.96,2026-08-05
20090204,2.96,2026-08-05
20090205,2.92,2026-08-05
20090206,2.92,2026-08-05
20090209,2.92,2026-08-05
20090210,2.92,2026-08-05
20090211,2.92,2026-08-05
20090212,2.64,2026-08-05
20090213,2.57,2026-08-05
20090216,2.57,2026-08-05
20090217,2.57,2026-08-05
20090218,2.56,2026-08-05
20090219,2.55,2026-08-05
20090220,2.54,2026-08-05
20090223,2.53,2026-08-05
20090224,2.51,2026-08-05
20090225,2.51,2026-08-05
20090226,2.49,2026-08-05
20090227,2.49,2026-08-05
20090302,2.49,2026-08-05
20090303,2.49,2026-08-05
20090304,2.49,2026-08-05
20090305,2.49,2026-08-05
20090306,2.49,2026-08-05
20090309,2.45,2026-08-05
20090310,2.45,2026-08-05
20090311,2.45,2026-08-05
20090312,2.45,2026-08-05
20090313,2.43,2026-08-05
20090316,2.43,2026-08-05
20090317,2.43,2026-08-05
20090318,2.43,2026-08-05
20090319,2.43,2026-08-05
20090320,2.43,2026-08-05
20090323,2.43,2026-08-05
20090324,2.43,2026-08-05
20090325,2.43,2026-08-05
20090326,2.43,2026-08-05
20090327,2.43,2026-08-05
20090330,2.43,2026-08-05
20090331,2.43,2026-08-05
20090401,2.43,2026-08-05
20090402,2.43,2026-08-05
20090403,2.43,2026-08-05
20090406,2.43,2026-08-05
20090407,2.43,2026-08-05
20090408,2.43,2026-08-05
20090409,2.43,2026-08-05
20090410,2.43,2026-08-05
20090413,2.43,2026-08-05
20090414,2.43,2026-08-05
20090415,2.42,2026-08-05
20090416,2.41,2026-08-05
20090417,2.41,2026-08-05
20090420,2.41,2026-08-05
20090421,2.41,2026-08-05
20090422,2.41,2026-08-05
20090423,2.41,2026-08-05
20090424,2.41,2026-08-05
20090427,2.41,2026-08-05
20090428,2.41,2026-08-05
20090429,2.41,2026-08-05
20090430,2.41,2026-08-05
20090504,2.41,2026-08-05
20090506,2.41,2026-08-05
20090507,2.41,2026-08-05
20090508,2.41,2026-08-05
20090511,2.41,2026-08-05
20090512,2.41,2026-08-05
20090513,2.41,2026-08-05
20090514,2.41,2026-08-05
20090515,2.41,2026-08-05
20090518,2.41,2026-08-05
20090519,2.41,2026-08-05
20090520,2.41,2026-08-05
20090521,2.41,2026-08-05
20090522,2.41,2026-08-05
20090525,2.41,2026-08-05
20090526,2.41,2026-08-05
20090527,2.41,2026-08-05
20090528,2.41,2026-08-05
20090529,2.41,2026-08-05
20090601,2.41,2026-08-05
20090602,2.41,2026-08-05
20090603,2.41,2026-08-05
20090604,2.42,2026-08-05
20090605,2.41,2026-08-05
20090608,2.41,2026-08-05
20090609,2.41,2026-08-05
20090610,2.41,2026-08-05
20090611,2.41,2026-08-05
20090612,2.41,2026-08-05
20090615,2.41,2026-08-05
20090616,2.41,2026-08-05
20090617,2.41,2026-08-05
20090618,2.41,2026-08-05
20090619,2.41,2026-08-05
20090622,2.41,2026-08-05
20090623,2.41,2026-08-05
20090624,2.41,2026-08-05
20090625,2.41,2026-08-05
20090626,2.41,2026-08-05
20090629,2.41,2026-08-05
20090630,2.41,2026-08-05
20090701,2.41,2026-08-05
20090702,2.41,2026-08-05
20090703,2.41,2026-08-05
20090706,2.41,2026-08-05
20090707,2.41,2026-08-05
20090708,2.41,2026-08-05
20090709,2.41,2026-08-05
20090710,2.41,2026-08-05
20090713,2.41,2026-08-05
20090714,2.41,2026-08-05
20090715,2.41,2026-08-05
20090716,2.41,2026-08-05
20090717,2.41,2026-08-05
20090720,2.41,2026-08-05
20090721,2.41,2026-08-05
20090722,2.41,2026-08-05
20090723,2.41,2026-08-05
20090724,2.41,2026-08-05
20090727,2.41,2026-08-05
20090728,2.41,2026-08-05
20090729,2.41,2026-08-05
20090730,2.41,2026-08-05
20090731,2.41,2026-08-05
20090803,2.41,2026-08-05
20090804,2.41,2026-08-05
20090805,2.41,2026-08-05
20090806,2.42,2026-08-05
20090807,2.42,2026-08-05
20090810,2.42,2026-08-05
20090811,2.42,2026-08-05
20090812,2.42,2026-08-05
20090813,2.45,2026-08-05
20090814,2.47,2026-08-05
20090817,2.48,2026-08-05
20090818,2.49,2026-08-05
20090819,2.49,2026-08-05
20090820,2.51,2026-08-05
20090821,2.51,2026-08-05
20090824,2.51,2026-08-05
20090825,2.52,2026-08-05
20090826,2.56,2026-08-05
20090827,2.57,2026-08-05
20090828,2.57,2026-08-05
20090831,2.57,2026-08-05
20090901,2.57,2026-08-05
20090902,2.57,2026-08-05
20090903,2.57,2026-08-05
20090904,2.57,2026-08-05
20090907,2.57,2026-08-05
20090908,2.57,2026-08-05
20090909,2.57,2026-08-05
20090910,2.58,2026-08-05
20090911,2.59,2026-08-05
20090914,2.61,2026-08-05
20090915,2.62,2026-08-05
20090916,2.63,2026-08-05
20090917,2.64,2026-08-05
20090918,2.65,2026-08-05
20090921,2.68,2026-08-05
20090922,2.7,2026-08-05
20090923,2.71,2026-08-05
20090924,2.72,2026-08-05
20090925,2.72,2026-08-05
20090928,2.73,2026-08-05
20090929,2.74,2026-08-05
20090930,2.75,2026-08-05
20091001,2.76,2026-08-05
20091005,2.77,2026-08-05
20091006,2.78,2026-08-05
20091007,2.79,2026-08-05
20091008,2.8,2026-08-05
20091009,2.81,2026-08-05
20091012,2.81,2026-08-05
20091013,2.81,2026-08-05
20091014,2.81,2026-08-05
20091015,2.8,2026-08-05
20091016,2.8,2026-08-05
20091019,2.8,2026-08-05
20091020,2.79,2026-08-05
20091021,2.79,2026-08-05
20091022,2.79,2026-08-05
20091023,2.79,2026-08-05
20091026,2.79,2026-08-05
20091027,2.79,2026-08-05
20091028,2.79,2026-08-05
20091029,2.79,2026-08-05
20091030,2.79,2026-08-05
20091102,2.79,2026-08-05
20091103,2.79,2026-08-05
20091104,2.79,2026-08-05
20091105,2.79,2026-08-05
20091106,2.79,2026-08-05
20091109,2.79,2026-08-05
20091110,2.79,2026-08-05
