TIME,DATA_VALUE,retrieved_at
19950103,14.25,2026-08-24
19950104,14.3,2026-08-24
19950105,14.42,2026-08-24
19950106,14.45,2026-08-24
19950107,14.45,2026-08-24
19950109,14.45,2026-08-24
19950110,14.47,2026-08-24
19950111,14.5,2026-08-24
19950112,14.67,2026-08-24
19950113,15,2026-08-24
19950114,15,2026-08-24
19950116,15.1,2026-08-24
19950117,15.1,2026-08-24
19950118,15.1,2026-08-24
19950119,15.1,2026-08-24
19950120,15.08,2026-08-24
19950121,15.08,2026-08-24
19950123,15.2,2026-08-24
19950124,15.2,2026-08-24
19950125,15.2,2026-08-24
19950126,15.2,2026-08-24
19950127,15.2,2026-08-24
19950128,15.2,2026-08-24
19950202,15.23,2026-08-24
19950203,15.23,2026-08-24
19950204,15.25,2026-08-24
19950206,15.25,2026-08-24
19950207,15.25,2026-08-24
19950208,15.25,2026-08-24
19950209,15.25,2026-08-24
19950210,15.3,2026-08-24
19950211,15.3,2026-08-24
19950213,15.32,2026-08-24
19950214,15.35,2026-08-24
19950215,15.35,2026-08-24
19950216,15.4,2026-08-24
19950217,15.4,2026-08-24
19950218,15.4,2026-08-24
19950220,15.4,2026-08-24
19950221,15.4,2026-08-24
19950222,15.3,2026-08-24
19950223,15.4,2026-08-24
19950224,15.4,2026-08-24
19950225,15.4,2026-08-24
19950227,15.4,2026-08-24
19950228,15.45,2026-08-24
19950302,15.5,2026-08-24
19950303,15.5,2026-08-24
19950304,15.5,2026-08-24
19950306,15.49,2026-08-24
19950307,15.45,2026-08-24
19950308,15.35,2026-08-24
19950309,15.3,2026-08-24
19950310,15.3,2026-08-24
19950311,15.3,2026-08-24
19950313,15.3,2026-08-24
19950314,15.3,2026-08-24
19950315,15.25,2026-08-24
19950316,15.2,2026-08-24
19950317,15.1,2026-08-24
19950318,15,2026-08-24
19950320,14.8,2026-08-24
19950321,14.8,2026-08-24
19950322,14.8,2026-08-24
19950323,14.6,2026-08-24
19950324,14.45,2026-08-24
19950325,14.45,2026-08-24
19950327,14.5,2026-08-24
19950328,14.5,2026-08-24
19950329,14.4,2026-08-24
19950330,14.2,2026-08-24
19950331,14.2,2026-08-24
19950401,14.2,2026-08-24
19950403,14.2,2026-08-24
19950404,14.28,2026-08-24
19950406,14.53,2026-08-24
19950407,14.65,2026-08-24
19950408,14.65,2026-08-24
19950410,14.75,2026-08-24
19950411,14.9,2026-08-24
19950412,14.98,2026-08-24
19950413,14.8,2026-08-24
19950414,14.6,2026-08-24
19950415,14.5,2026-08-24
19950417,14.5,2026-08-24
19950418,14.64,2026-08-24
19950419,14.65,2026-08-24
19950420,14.7,2026-08-24
19950421,14.85,2026-08-24
19950422,14.9,2026-08-24
19950424,14.85,2026-08-24
19950425,14.85,2026-08-24
19950426,14.85,2026-08-24
19950427,14.8,2026-08-24
19950428,14.7,2026-08-24
19950429,14.7,2026-08-24
19950502,14.8,2026-08-24
19950503,14.88,2026-08-24
19950504,14.84,2026-08-24
19950506,14.75,2026-08-24
19950508,14.8,2026-08-24
19950509,14.8,2026-08-24
19950510,14.82,2026-08-24
19950511,14.87,2026-08-24
19950512,14.91,2026-08-24
19950513,14.91,2026-08-24
19950515,14.97,2026-08-24
19950516,14.92,2026-08-24
19950517,14.9,2026-08-24
19950518,14.9,2026-08-24
19950519,14.89,2026-08-24
19950520,14.89,2026-08-24
19950522,14.9,2026-08-24
19950523,14.9,2026-08-24
19950524,14.95,2026-08-24
19950525,15,2026-08-24
19950526,15,2026-08-24
19950527,15,2026-08-24
19950529,15,2026-08-24
19950530,15,2026-08-24
19950531,14.97,2026-08-24
19950601,14.93,2026-08-24
19950602,14.87,2026-08-24
19950603,14.79,2026-08-24
19950605,14.7,2026-08-24
19950607,14.7,2026-08-24
19950608,14.7,2026-08-24
19950609,14.63,2026-08-24
19950610,14.58,2026-08-24
19950612,14.49,2026-08-24
19950613,14.53,2026-08-24
19950614,14.63,2026-08-24
