TIME,DATA_VALUE,retrieved_at
1995Q1,51.159,2026-08-21
1995Q2,51.904,2026-08-21
1995Q3,52.354,2026-08-21
1995Q4,52.562,2026-08-21
1996Q1,53.55,2026-08-21
1996Q2,54.434,2026-08-21
1996Q3,55.006,2026-08-21
1996Q4,55.231,2026-08-21
1997Q1,56.063,2026-08-21
1997Q2,56.634,2026-08-21
1997Q3,57.189,2026-08-21
1997Q4,58.021,2026-08-21
1998Q1,61.072,2026-08-21
1998Q2,61.262,2026-08-21
1998Q3,61.21,2026-08-21
1998Q4,61.487,2026-08-21
1999Q1,61.505,2026-08-21
1999Q2,61.626,2026-08-21
1999Q3,61.609,2026-08-21
1999Q4,62.284,2026-08-21
2000Q1,62.688,2026-08-21
2000Q2,62.604,2026-08-21
2000Q3,63.446,2026-08-21
2000Q4,63.866,2026-08-21
2001Q1,65.004,2026-08-21
2001Q2,65.761,2026-08-21
2001Q3,66.14,2026-08-21
2001Q4,65.972,2026-08-21
2002Q1,66.645,2026-08-21
2002Q2,67.529,2026-08-21
2002Q3,67.803,2026-08-21
2002Q4,68.16,2026-08-21
2003Q1,69.361,2026-08-21
2003Q2,69.761,2026-08-21
2003Q3,69.951,2026-08-21
2003Q4,70.561,2026-08-21
2004Q1,71.613,2026-08-21
2004Q2,72.14,2026-08-21
2004Q3,72.981,2026-08-21
2004Q4,72.939,2026-08-21
2005Q1,73.941,2026-08-21
2005Q2,74.288,2026-08-21
2005Q3,74.686,2026-08-21
2005Q4,74.735,2026-08-21
2006Q1,75.48,2026-08-21
2006Q2,75.951,2026-08-21
2006Q3,76.571,2026-08-21
2006Q4,76.323,2026-08-21
2007Q1,76.992,2026-08-21
2007Q2,77.811,2026-08-21
2007Q3,78.332,2026-08-21
2007Q4,78.902,2026-08-21
2008Q1,79.919,2026-08-21
2008Q2,81.581,2026-08-21
2008Q3,82.673,2026-08-21
2008Q4,82.449,2026-08-21
2009Q1,83.045,2026-08-21
2009Q2,83.837,2026-08-21
2009Q3,84.31,2026-08-21
2009Q4,84.434,2026-08-21
2010Q1,85.523,2026-08-21
2010Q2,86.07,2026-08-21
2010Q3,86.733,2026-08-21
2010Q4,87.165,2026-08-21
2011Q1,88.806,2026-08-21
2011Q2,89.497,2026-08-21
2011Q3,90.476,2026-08-21
2011Q4,90.62,2026-08-21
2012Q1,91.481,2026-08-21
2012Q2,91.671,2026-08-21
2012Q3,91.933,2026-08-21
2012Q4,92.175,2026-08-21
2013Q1,92.906,2026-08-21
2013Q2,92.785,2026-08-21
2013Q3,93.189,2026-08-21
2013Q4,93.16,2026-08-21
2014Q1,93.954,2026-08-21
2014Q2,94.277,2026-08-21
2014Q3,94.476,2026-08-21
2014Q4,94.075,2026-08-21
2015Q1,94.609,2026-08-21
2015Q2,94.808,2026-08-21
2015Q3,95.086,2026-08-21
2015Q4,94.941,2026-08-21
2016Q1,95.422,2026-08-21
2016Q2,95.605,2026-08-21
2016Q3,95.785,2026-08-21
2016Q4,96.319,2026-08-21
2017Q1,97.521,2026-08-21
2017Q2,97.442,2026-08-21
2017Q3,97.91,2026-08-21
2017Q4,97.707,2026-08-21
2018Q1,98.571,2026-08-21
2018Q2,98.896,2026-08-21
2018Q3,99.424,2026-08-21
2018Q4,99.453,2026-08-21
2019Q1,99.105,2026-08-21
2019Q2,99.541,2026-08-21
2019Q3,99.469,2026-08-21
2019Q4,99.747,2026-08-21
2020Q1,100.06,2026-08-21
2020Q2,99.55,2026-08-21
2020Q3,100.19,2026-08-21
2020Q4,100.2,2026-08-21
2021Q1,101.49,2026-08-21
2021Q2,102.03,2026-08-21
2021Q3,102.73,2026-08-21
2021Q4,103.75,2026-08-21
2022Q1,105.46,2026-08-21
2022Q2,107.51,2026-08-21
2022Q3,108.73,2026-08-21
2022Q4,109.16,2026-08-21
2023Q1,110.31,2026-08-21
2023Q2,111.02,2026-08-21
2023Q3,112.14,2026-08-21
2023Q4,112.89,2026-08-21
2024Q1,113.63,2026-08-21
2024Q2,113.98,2026-08-21
2024Q3,114.44,2026-08-21
2024Q4,114.67,2026-08-21
2025Q1,116.03,2026-08-21
2025Q2,116.32,2026-08-21
2025Q3,116.68,2026-08-21
2025Q4,117.4,2026-08-21
2026Q1,118.41,2026-08-21
2026Q2,119.76,2026-08-21
