TIME,DATA_VALUE,retrieved_at
1960Q1,0.864,2026-08-21
1960Q2,0.888,2026-08-21
1960Q3,0.891,2026-08-21
1960Q4,0.902,2026-08-21
1961Q1,0.975,2026-08-21
1961Q2,0.995,2026-08-21
1961Q3,0.924,2026-08-21
1961Q4,0.972,2026-08-21
1962Q1,1.163,2026-08-21
1962Q2,1.126,2026-08-21
1962Q3,1.077,2026-08-21
1962Q4,1.042,2026-08-21
1963Q1,1.221,2026-08-21
1963Q2,1.15,2026-08-21
1963Q3,1.17,2026-08-21
1963Q4,1.242,2026-08-21
1964Q1,1.316,2026-08-21
1964Q2,1.534,2026-08-21
1964Q3,1.474,2026-08-21
1964Q4,1.586,2026-08-21
1965Q1,1.744,2026-08-21
1965Q2,1.763,2026-08-21
1965Q3,1.739,2026-08-21
1965Q4,1.667,2026-08-21
1966Q1,1.802,2026-08-21
1966Q2,2.01,2026-08-21
1966Q3,1.968,2026-08-21
1966Q4,2.002,2026-08-21
1967Q1,1.987,2026-08-21
1967Q2,2.09,2026-08-21
1967Q3,2.257,2026-08-21
1967Q4,2.166,2026-08-21
1968Q1,2.35,2026-08-21
1968Q2,2.372,2026-08-21
1968Q3,2.408,2026-08-21
1968Q4,2.339,2026-08-21
1969Q1,2.678,2026-08-21
1969Q2,2.627,2026-08-21
1969Q3,2.673,2026-08-21
1969Q4,2.27,2026-08-21
1970Q1,2.937,2026-08-21
1970Q2,2.932,2026-08-21
1970Q3,3.107,2026-08-21
1970Q4,3.172,2026-08-21
1971Q1,3.04,2026-08-21
1971Q2,3.035,2026-08-21
1971Q3,3.156,2026-08-21
1971Q4,3.304,2026-08-21
1972Q1,3.368,2026-08-21
1972Q2,3.239,2026-08-21
1972Q3,3.455,2026-08-21
1972Q4,3.577,2026-08-21
1973Q1,3.346,2026-08-21
1973Q2,3.595,2026-08-21
1973Q3,3.889,2026-08-21
1973Q4,4.083,2026-08-21
1974Q1,4.688,2026-08-21
1974Q2,5.2,2026-08-21
