TIME,DATA_VALUE,retrieved_at
1960Q1,3.063,2026-08-21
1960Q2,3.242,2026-08-21
1960Q3,3.057,2026-08-21
1960Q4,2.898,2026-08-21
1961Q1,4.616,2026-08-21
1961Q2,4.467,2026-08-21
1961Q3,4.308,2026-08-21
1961Q4,4.204,2026-08-21
1962Q1,4.581,2026-08-21
1962Q2,4.605,2026-08-21
1962Q3,4.642,2026-08-21
1962Q4,4.565,2026-08-21
1963Q1,5.181,2026-08-21
1963Q2,5.191,2026-08-21
1963Q3,5.226,2026-08-21
1963Q4,5.26,2026-08-21
1964Q1,9.784,2026-08-21
1964Q2,7.361,2026-08-21
1964Q3,6.559,2026-08-21
1964Q4,6.383,2026-08-21
1965Q1,8.593,2026-08-21
1965Q2,8.517,2026-08-21
1965Q3,8.327,2026-08-21
1965Q4,8.361,2026-08-21
1966Q1,8.752,2026-08-21
1966Q2,8.472,2026-08-21
1966Q3,8.558,2026-08-21
1966Q4,8.614,2026-08-21
1967Q1,8.738,2026-08-21
1967Q2,8.621,2026-08-21
1967Q3,8.519,2026-08-21
1967Q4,8.581,2026-08-21
1968Q1,9.315,2026-08-21
1968Q2,8.968,2026-08-21
1968Q3,9.043,2026-08-21
1968Q4,8.909,2026-08-21
1969Q1,9.384,2026-08-21
1969Q2,9.439,2026-08-21
1969Q3,9.5,2026-08-21
1969Q4,8.938,2026-08-21
1970Q1,9.325,2026-08-21
1970Q2,9.325,2026-08-21
1970Q3,9.325,2026-08-21
1970Q4,9.326,2026-08-21
1971Q1,9.628,2026-08-21
1971Q2,10.347,2026-08-21
1971Q3,10.118,2026-08-21
1971Q4,9.871,2026-08-21
1972Q1,11.28,2026-08-21
1972Q2,11.859,2026-08-21
1972Q3,11.336,2026-08-21
1972Q4,11.027,2026-08-21
1973Q1,13.081,2026-08-21
1973Q2,14.723,2026-08-21
1973Q3,13.992,2026-08-21
1973Q4,15.361,2026-08-21
1974Q1,19.613,2026-08-21
1974Q2,21.68,2026-08-21
1974Q3,19.327,2026-08-21
1974Q4,21.269,2026-08-21
1975Q1,27.85,2026-08-21
1975Q2,27.341,2026-08-21
1975Q3,22.503,2026-08-21
1975Q4,21.716,2026-08-21
1976Q1,24.959,2026-08-21
1976Q2,26.632,2026-08-21
1976Q3,22.043,2026-08-21
1976Q4,24.118,2026-08-21
1977Q1,25.58,2026-08-21
1977Q2,26.454,2026-08-21
1977Q3,25.026,2026-08-21
1977Q4,24.672,2026-08-21
1978Q1,28.294,2026-08-21
1978Q2,31.715,2026-08-21
1978Q3,27.933,2026-08-21
1978Q4,25.677,2026-08-21
1979Q1,32.543,2026-08-21
1979Q2,33.859,2026-08-21
1979Q3,32.825,2026-08-21
1979Q4,31.349,2026-08-21
1980Q1,40.113,2026-08-21
1980Q2,45.001,2026-08-21
1980Q3,40.97,2026-08-21
1980Q4,43.236,2026-08-21
1981Q1,49.332,2026-08-21
1981Q2,50.393,2026-08-21
1981Q3,47.979,2026-08-21
1981Q4,45.598,2026-08-21
1982Q1,52.376,2026-08-21
1982Q2,54.495,2026-08-21
1982Q3,52.093,2026-08-21
1982Q4,49.117,2026-08-21
1983Q1,56.181,2026-08-21
1983Q2,56.079,2026-08-21
1983Q3,53.917,2026-08-21
1983Q4,54.404,2026-08-21
1984Q1,57.138,2026-08-21
1984Q2,57.187,2026-08-21
1984Q3,53.861,2026-08-21
1984Q4,51.914,2026-08-21
1985Q1,58.281,2026-08-21
1985Q2,61.539,2026-08-21
1985Q3,59.369,2026-08-21
1985Q4,57.43,2026-08-21
1986Q1,61.795,2026-08-21
1986Q2,64.656,2026-08-21
1986Q3,60.817,2026-08-21
1986Q4,57.682,2026-08-21
1987Q1,63.392,2026-08-21
1987Q2,65.97,2026-08-21
1987Q3,61.471,2026-08-21
1987Q4,59.294,2026-08-21
1988Q1,66.446,2026-08-21
1988Q2,67.685,2026-08-21
1988Q3,64.59,2026-08-21
1988Q4,60.395,2026-08-21
1989Q1,65.609,2026-08-21
1989Q2,67.226,2026-08-21
1989Q3,62.319,2026-08-21
1989Q4,59.304,2026-08-21
1990Q1,66.42,2026-08-21
1990Q2,70.966,2026-08-21
1990Q3,64.927,2026-08-21
1990Q4,62.241,2026-08-21
1991Q1,69.159,2026-08-21
1991Q2,72.679,2026-08-21
1991Q3,67.356,2026-08-21
1991Q4,62.155,2026-08-21
1992Q1,71.033,2026-08-21
1992Q2,75.39,2026-08-21
1992Q3,69.462,2026-08-21
1992Q4,61.244,2026-08-21
1993Q1,72.359,2026-08-21
1993Q2,77.293,2026-08-21
1993Q3,73.672,2026-08-21
1993Q4,67.089,2026-08-21
1994Q1,76.047,2026-08-21
1994Q2,78.734,2026-08-21
1994Q3,73.763,2026-08-21
1994Q4,66.058,2026-08-21
1995Q1,77.182,2026-08-21
1995Q2,80.526,2026-08-21
1995Q3,71.913,2026-08-21
1995Q4,70.004,2026-08-21
1996Q1,79.021,2026-08-21
1996Q2,81.852,2026-08-21
1996Q3,74.421,2026-08-21
1996Q4,72.96,2026-08-21
1997Q1,79.657,2026-08-21
1997Q2,82.423,2026-08-21
1997Q3,75.578,2026-08-21
1997Q4,81.563,2026-08-21
1998Q1,100.223,2026-08-21
1998Q2,94.371,2026-08-21
1998Q3,84.624,2026-08-21
1998Q4,82.102,2026-08-21
