TIME,DATA_VALUE,retrieved_at
1960,2.9,2026-08-21
1961,2.9,2026-08-21
1962,3,2026-08-21
1963,3,2026-08-21
1964,3,2026-08-21
1965,3.1,2026-08-21
1966,3.1,2026-08-21
1967,3.1,2026-08-21
1968,3,2026-08-21
1969,3,2026-08-21
1970,3.1,2026-08-21
1971,3.2,2026-08-21
1972,3.1,2026-08-21
1973,3.2,2026-08-21
1974,3.2,2026-08-21
1975,3.5,2026-08-21
1976,3.5,2026-08-21
1977,3.6,2026-08-21
1978,3.7,2026-08-21
1979,3.7,2026-08-21
1980,3.8,2026-08-21
1981,3.9,2026-08-21
1982,4,2026-08-21
1983,4,2026-08-21
1984,4.1,2026-08-21
1985,4.3,2026-08-21
1986,4.4,2026-08-21
1987,4.5,2026-08-21
1988,4.7,2026-08-21
1989,4.8,2026-08-21
1990,5.1,2026-08-21
1991,5.2,2026-08-21
1992,5.4,2026-08-21
1993,5.5,2026-08-21
1994,5.7,2026-08-21
1995,5.9,2026-08-21
1996,6.1,2026-08-21
1997,6.4,2026-08-21
1998,6.6,2026-08-21
1999,6.9,2026-08-21
2000,7.2,2026-08-21
2001,7.5,2026-08-21
2002,7.9,2026-08-21
2003,8.2,2026-08-21
2004,8.6,2026-08-21
2005,9,2026-08-21
2006,9.3,2026-08-21
2007,9.8,2026-08-21
2008,10.2,2026-08-21
2009,10.5,2026-08-21
2010,10.8,2026-08-21
2011,11,2026-08-21
2012,11.5,2026-08-21
2013,11.9,2026-08-21
2014,12.4,2026-08-21
2015,12.8,2026-08-21
2016,13.2,2026-08-21
2017,13.8,2026-08-21
2018,14.3,2026-08-21
2019,14.9,2026-08-21
2020,15.7,2026-08-21
2021,16.6,2026-08-21
2022,17.4,2026-08-21
2023,18.2,2026-08-21
2024,19.2,2026-08-21
2025,20.3,2026-08-21
2026,21.6,2026-08-21
2027,22.5,2026-08-21
2028,23.6,2026-08-21
2029,24.4,2026-08-21
2030,25.3,2026-08-21
2031,26.2,2026-08-21
2032,27.1,2026-08-21
2033,27.9,2026-08-21
2034,29,2026-08-21
2035,29.9,2026-08-21
2036,30.9,2026-08-21
2037,31.8,2026-08-21
2038,32.7,2026-08-21
2039,33.6,2026-08-21
2040,34.3,2026-08-21
2041,34.9,2026-08-21
2042,35.5,2026-08-21
2043,36,2026-08-21
2044,36.6,2026-08-21
2045,37.3,2026-08-21
2046,38.1,2026-08-21
2047,38.8,2026-08-21
2048,39.4,2026-08-21
2049,39.8,2026-08-21
2050,40.1,2026-08-21
2051,40.5,2026-08-21
2052,40.8,2026-08-21
2053,41,2026-08-21
2054,41.3,2026-08-21
2055,41.7,2026-08-21
2056,42.1,2026-08-21
2057,42.6,2026-08-21
2058,43.1,2026-08-21
2059,43.6,2026-08-21
2060,44.2,2026-08-21
2061,44.7,2026-08-21
2062,45.2,2026-08-21
2063,45.7,2026-08-21
2064,46.1,2026-08-21
2065,46.6,2026-08-21
2066,47,2026-08-21
2067,47.2,2026-08-21
2068,47.3,2026-08-21
2069,47.5,2026-08-21
2070,47.5,2026-08-21
2071,47.6,2026-08-21
2072,47.7,2026-08-21
