TIME,DATA_VALUE,retrieved_at
1995Q1,106647.4,2026-08-21
1995Q2,111663.8,2026-08-21
1995Q3,116324.6,2026-08-21
1995Q4,117551.3,2026-08-21
1996Q1,122197.9,2026-08-21
1996Q2,125187.1,2026-08-21
1996Q3,128777.5,2026-08-21
1996Q4,131605.8,2026-08-21
1997Q1,132944,2026-08-21
1997Q2,138233.1,2026-08-21
1997Q3,142223.2,2026-08-21
1997Q4,147101.7,2026-08-21
1998Q1,141940.8,2026-08-21
1998Q2,136678.4,2026-08-21
1998Q3,138052,2026-08-21
1998Q4,140115.8,2026-08-21
1999Q1,145356.1,2026-08-21
1999Q2,148804,2026-08-21
1999Q3,157025.3,2026-08-21
1999Q4,161883.9,2026-08-21
2000Q1,164844.8,2026-08-21
2000Q2,166144.7,2026-08-21
2000Q3,171511.6,2026-08-21
2000Q4,173231.4,2026-08-21
2001Q1,178437.2,2026-08-21
2001Q2,182705.6,2026-08-21
2001Q3,185829.2,2026-08-21
2001Q4,185751.1,2026-08-21
2002Q1,196909.9,2026-08-21
2002Q2,202265.7,2026-08-21
2002Q3,204331.4,2026-08-21
2002Q4,209718.4,2026-08-21
2003Q1,211994.3,2026-08-21
2003Q2,213958,2026-08-21
2003Q3,216793.6,2026-08-21
2003Q4,225364.7,2026-08-21
2004Q1,230492.2,2026-08-21
2004Q2,234608.8,2026-08-21
2004Q3,237374.2,2026-08-21
2004Q4,240410.1,2026-08-21
2005Q1,242443.9,2026-08-21
2005Q2,246146.8,2026-08-21
2005Q3,251198.6,2026-08-21
2005Q4,255386.2,2026-08-21
2006Q1,256208.9,2026-08-21
2006Q2,257867.8,2026-08-21
2006Q3,264056.7,2026-08-21
2006Q4,267529.8,2026-08-21
2007Q1,274061.7,2026-08-21
2007Q2,280666,2026-08-21
2007Q3,285548.7,2026-08-21
2007Q4,294264.9,2026-08-21
2008Q1,294845.2,2026-08-21
2008Q2,302275.8,2026-08-21
2008Q3,305991.5,2026-08-21
2008Q4,299860.5,2026-08-21
2009Q1,301904.4,2026-08-21
2009Q2,310712.6,2026-08-21
2009Q3,320180.5,2026-08-21
2009Q4,322508,2026-08-21
2010Q1,334477.3,2026-08-21
2010Q2,343685.5,2026-08-21
2010Q3,347423.4,2026-08-21
2010Q4,353874,2026-08-21
2011Q1,355795,2026-08-21
2011Q2,358455.7,2026-08-21
2011Q3,363290.8,2026-08-21
2011Q4,371034.1,2026-08-21
2012Q1,373759.2,2026-08-21
2012Q2,374345.7,2026-08-21
2012Q3,376166.8,2026-08-21
2012Q4,380402.4,2026-08-21
2013Q1,385330.9,2026-08-21
2013Q2,390551.3,2026-08-21
2013Q3,395650.5,2026-08-21
2013Q4,399405.5,2026-08-21
2014Q1,405391.6,2026-08-21
2014Q2,407901.8,2026-08-21
2014Q3,409878,2026-08-21
2014Q4,415313.3,2026-08-21
2015Q1,428801.5,2026-08-21
2015Q2,432478.7,2026-08-21
2015Q3,438155.4,2026-08-21
2015Q4,441340.3,2026-08-21
2016Q1,451429.5,2026-08-21
2016Q2,458376,2026-08-21
2016Q3,458234.6,2026-08-21
2016Q4,464986.5,2026-08-21
2017Q1,474370.1,2026-08-21
2017Q2,478572.5,2026-08-21
2017Q3,492965.4,2026-08-21
2017Q4,488325.8,2026-08-21
2018Q1,495089.7,2026-08-21
2018Q2,499851.9,2026-08-21
2018Q3,506344.6,2026-08-21
2018Q4,505688.3,2026-08-21
2019Q1,502745.2,2026-08-21
2019Q2,510001.3,2026-08-21
2019Q3,511662.5,2026-08-21
2019Q4,516185.3,2026-08-21
2020Q1,508799.5,2026-08-21
2020Q2,503903.4,2026-08-21
2020Q3,519620.1,2026-08-21
2020Q4,526143.5,2026-08-21
2021Q1,537304.2,2026-08-21
2021Q2,550691.3,2026-08-21
2021Q3,563132.4,2026-08-21
2021Q4,572591.9,2026-08-21
2022Q1,578366,2026-08-21
2022Q2,584572.7,2026-08-21
2022Q3,583182.9,2026-08-21
2022Q4,582047.4,2026-08-21
2023Q1,588642.8,2026-08-21
2023Q2,595519.3,2026-08-21
2023Q3,606342.9,2026-08-21
2023Q4,617070.8,2026-08-21
2024Q1,635775.6,2026-08-21
2024Q2,639523,2026-08-21
2024Q3,639304.2,2026-08-21
2024Q4,649601.5,2026-08-21
2025Q1,652725.7,2026-08-21
2025Q2,661714.9,2026-08-21
2025Q3,670117.8,2026-08-21
2025Q4,692116.3,2026-08-21
2026Q1,764882.3,2026-08-21
