TIME,DATA_VALUE,retrieved_at
2011Q1,2.3,2026-08-21
2011Q2,2.4,2026-08-21
2011Q3,1.9,2026-08-21
2011Q4,1.6,2026-08-21
2012Q1,1.9,2026-08-21
2012Q2,2.1,2026-08-21
2012Q3,1.9,2026-08-21
2012Q4,2,2026-08-21
2013Q1,1.8,2026-08-21
2013Q2,1.8,2026-08-21
2013Q3,2.1,2026-08-21
2013Q4,1.6,2026-08-21
2014Q1,1.9,2026-08-21
2014Q2,1.8,2026-08-21
2014Q3,1.8,2026-08-21
2014Q4,1.7,2026-08-21
2015Q1,1.7,2026-08-21
2015Q2,1.9,2026-08-21
2015Q3,1.7,2026-08-21
2015Q4,1.6,2026-08-21
2016Q1,1.6,2026-08-21
2016Q2,1.8,2026-08-21
2016Q3,1.7,2026-08-21
2016Q4,1.6,2026-08-21
2017Q1,1.8,2026-08-21
2017Q2,1.8,2026-08-21
2017Q3,1.6,2026-08-21
2017Q4,1.5,2026-08-21
2018Q1,1.9,2026-08-21
2018Q2,1.8,2026-08-21
2018Q3,1.4,2026-08-21
2018Q4,1.2,2026-08-21
2019Q1,1.9,2026-08-21
2019Q2,1.6,2026-08-21
2019Q3,1.3,2026-08-21
2019Q4,0.9,2026-08-21
2020Q1,-10.3,2026-08-21
2020Q2,12.7,2026-08-21
2020Q3,2.9,2026-08-21
2020Q4,2.4,2026-08-21
2021Q1,0,2026-08-21
2021Q2,2.7,2026-08-21
2021Q3,0.5,2026-08-21
2021Q4,1.2,2026-08-21
2022Q1,0.1,2026-08-21
2022Q2,-0.7,2026-08-21
2022Q3,3.3,2026-08-21
2022Q4,0.5,2026-08-21
2023Q1,1.6,2026-08-21
2023Q2,1.3,2026-08-21
2023Q3,1.6,2026-08-21
2023Q4,0.8,2026-08-21
2024Q1,1.3,2026-08-21
2024Q2,1,2026-08-21
2024Q3,1.4,2026-08-21
2024Q4,1.6,2026-08-21
2025Q1,1.1,2026-08-21
2025Q2,1.2,2026-08-21
2025Q3,1.1,2026-08-21
2025Q4,1.1,2026-08-21
2026Q1,1.3,2026-08-21
2026Q2,0.9,2026-08-21
