TIME,DATA_VALUE,retrieved_at
2002Q4,464712,2026-08-21
2003Q1,463330.4,2026-08-21
2003Q2,464574.7,2026-08-21
2003Q3,463525.5,2026-08-21
2003Q4,472051.4,2026-08-21
2004Q1,472341.8,2026-08-21
2004Q2,477320.2,2026-08-21
2004Q3,482532.9,2026-08-21
2004Q4,494202.6,2026-08-21
2005Q1,497008.3,2026-08-21
2005Q2,516028.6,2026-08-21
2005Q3,527084,2026-08-21
2005Q4,542871.4,2026-08-21
2006Q1,550330.8,2026-08-21
2006Q2,569379,2026-08-21
2006Q3,582452.4,2026-08-21
2006Q4,607133.2,2026-08-21
2007Q1,612388.7,2026-08-21
2007Q2,629590.6,2026-08-21
2007Q3,642030.6,2026-08-21
2007Q4,665394.2,2026-08-21
2008Q1,677198.7,2026-08-21
2008Q2,698226.9,2026-08-21
2008Q3,713289.6,2026-08-21
2008Q4,723521.5,2026-08-21
2009Q1,720375.4,2026-08-21
2009Q2,736347.1,2026-08-21
2009Q3,754189.6,2026-08-21
2009Q4,775985.3,2026-08-21
2010Q1,783323.6,2026-08-21
2010Q2,800126.9,2026-08-21
2010Q3,815991.1,2026-08-21
2010Q4,843189.6,2026-08-21
2011Q1,855514.6,2026-08-21
2011Q2,877178.2,2026-08-21
2011Q3,891271.6,2026-08-21
2011Q4,916162.2,2026-08-21
2012Q1,916472.3,2026-08-21
2012Q2,928561.6,2026-08-21
2012Q3,940745.6,2026-08-21
2012Q4,963794.4,2026-08-21
2013Q1,962874.9,2026-08-21
2013Q2,979641.9,2026-08-21
2013Q3,993617,2026-08-21
2013Q4,1019040.5,2026-08-21
2014Q1,1022446.2,2026-08-21
2014Q2,1035889.5,2026-08-21
2014Q3,1056441.5,2026-08-21
2014Q4,1085259.2,2026-08-21
2015Q1,1098305,2026-08-21
2015Q2,1131535.5,2026-08-21
2015Q3,1164895.2,2026-08-21
2015Q4,1203099.2,2026-08-21
2016Q1,1223653.9,2026-08-21
2016Q2,1257583.2,2026-08-21
2016Q3,1296456.7,2026-08-21
2016Q4,1342526.8,2026-08-21
2017Q1,1358967.4,2026-08-21
2017Q2,1387757.1,2026-08-21
2017Q3,1419108.3,2026-08-21
2017Q4,1450627.4,2026-08-21
2018Q1,1468063.4,2026-08-21
2018Q2,1492135,2026-08-21
2018Q3,1513642.4,2026-08-21
2018Q4,1536460.2,2026-08-21
2019Q1,1539922,2026-08-21
2019Q2,1556688.9,2026-08-21
2019Q3,1572419.5,2026-08-21
2019Q4,1600125.2,2026-08-21
2020Q1,1611162.9,2026-08-21
2020Q2,1637351.8,2026-08-21
2020Q3,1682332.2,2026-08-21
2020Q4,1728526.6,2026-08-21
2021Q1,1765627.6,2026-08-21
2021Q2,1809244.9,2026-08-21
2021Q3,1844021.5,2026-08-21
2021Q4,1861315.1,2026-08-21
2022Q1,1861205.5,2026-08-21
2022Q2,1866565,2026-08-21
2022Q3,1869113.3,2026-08-21
2022Q4,1865404.9,2026-08-21
2023Q1,1850744.4,2026-08-21
2023Q2,1858832.8,2026-08-21
2023Q3,1875807.6,2026-08-21
2023Q4,1882633.9,2026-08-21
2024Q1,1879403.3,2026-08-21
2024Q2,1892719.1,2026-08-21
2024Q3,1911441,2026-08-21
2024Q4,1922366,2026-08-21
2025Q1,1924990.1,2026-08-21
2025Q2,1949977.5,2026-08-21
2025Q3,1964816.7,2026-08-21
2025Q4,1979088.6,2026-08-21
2026Q1,1993923.9,2026-08-21
2026Q2,2019785.3,2026-08-21
