TIME,DATA_VALUE,retrieved_at
199001,40.009,2026-08-21
199002,41.985,2026-08-21
199003,42.952,2026-08-21
199004,44.313,2026-08-21
199005,44.796,2026-08-21
199006,44.928,2026-08-21
199007,45.06,2026-08-21
199008,45.411,2026-08-21
199009,46.597,2026-08-21
199010,47.212,2026-08-21
199011,47.826,2026-08-21
199012,48.002,2026-08-21
199101,48.266,2026-08-21
199102,48.88,2026-08-21
199103,49.671,2026-08-21
199104,50.769,2026-08-21
199105,50.725,2026-08-21
199106,50.505,2026-08-21
199107,50.286,2026-08-21
199108,50.066,2026-08-21
199109,49.891,2026-08-21
199110,49.539,2026-08-21
199111,48.529,2026-08-21
199112,47.739,2026-08-21
199201,47.519,2026-08-21
199202,47.431,2026-08-21
199203,47.299,2026-08-21
199204,47.036,2026-08-21
199205,46.509,2026-08-21
199206,45.982,2026-08-21
199207,45.631,2026-08-21
199208,45.675,2026-08-21
199209,46.026,2026-08-21
199210,45.938,2026-08-21
199211,45.675,2026-08-21
199212,45.367,2026-08-21
199301,45.279,2026-08-21
199302,45.455,2026-08-21
199303,45.455,2026-08-21
199304,45.279,2026-08-21
199305,45.016,2026-08-21
199306,44.752,2026-08-21
199307,44.533,2026-08-21
199308,44.401,2026-08-21
199309,44.313,2026-08-21
199310,44.269,2026-08-21
199311,44.137,2026-08-21
199312,44.05,2026-08-21
199401,44.05,2026-08-21
199402,44.093,2026-08-21
199403,44.093,2026-08-21
199404,44.05,2026-08-21
199405,44.006,2026-08-21
199406,43.962,2026-08-21
199407,43.918,2026-08-21
199408,43.962,2026-08-21
199409,44.05,2026-08-21
199410,44.05,2026-08-21
199411,44.006,2026-08-21
199412,44.006,2026-08-21
199501,43.962,2026-08-21
199502,43.962,2026-08-21
199503,44.006,2026-08-21
199504,44.006,2026-08-21
199505,43.962,2026-08-21
199506,43.962,2026-08-21
199507,43.918,2026-08-21
199508,43.918,2026-08-21
199509,43.962,2026-08-21
199510,43.962,2026-08-21
199511,43.918,2026-08-21
199512,43.918,2026-08-21
199601,43.962,2026-08-21
199602,44.05,2026-08-21
199603,44.181,2026-08-21
199604,44.225,2026-08-21
199605,44.225,2026-08-21
199606,44.181,2026-08-21
199607,44.181,2026-08-21
199608,44.225,2026-08-21
199609,44.401,2026-08-21
199610,44.489,2026-08-21
199611,44.533,2026-08-21
199612,44.577,2026-08-21
