TIME,DATA_VALUE,retrieved_at
1995Q1,57.88,2026-08-21
1995Q2,58.29,2026-08-21
1995Q3,56.99,2026-08-21
1995Q4,56.29,2026-08-21
1996Q1,56.58,2026-08-21
1996Q2,56.42,2026-08-21
1996Q3,58.26,2026-08-21
1996Q4,59.83,2026-08-21
1997Q1,60.95,2026-08-21
1997Q2,61.3,2026-08-21
1997Q3,60.96,2026-08-21
1997Q4,69.79,2026-08-21
1998Q1,93.6,2026-08-21
1998Q2,80.98,2026-08-21
1998Q3,75.33,2026-08-21
1998Q4,74.49,2026-08-21
1999Q1,67.25,2026-08-21
1999Q2,69.18,2026-08-21
1999Q3,72.31,2026-08-21
1999Q4,76.29,2026-08-21
2000Q1,75.91,2026-08-21
2000Q2,75.45,2026-08-21
2000Q3,76.6,2026-08-21
2000Q4,78.92,2026-08-21
2001Q1,81.75,2026-08-21
2001Q2,82.78,2026-08-21
2001Q3,79.31,2026-08-21
2001Q4,73.89,2026-08-21
2002Q1,74.77,2026-08-21
2002Q2,75.77,2026-08-21
2002Q3,72.97,2026-08-21
2002Q4,74.5,2026-08-21
2003Q1,77.37,2026-08-21
2003Q2,74.54,2026-08-21
2003Q3,73.99,2026-08-21
2003Q4,77.46,2026-08-21
2004Q1,81.06,2026-08-21
2004Q2,83.27,2026-08-21
2004Q3,85.81,2026-08-21
2004Q4,84,2026-08-21
2005Q1,83.68,2026-08-21
2005Q2,84.74,2026-08-21
2005Q3,88.17,2026-08-21
2005Q4,87.2,2026-08-21
2006Q1,84.61,2026-08-21
2006Q2,87.09,2026-08-21
2006Q3,89.41,2026-08-21
2006Q4,85.87,2026-08-21
2007Q1,85.92,2026-08-21
2007Q2,89.54,2026-08-21
2007Q3,90.76,2026-08-21
2007Q4,96.37,2026-08-21
2008Q1,106.42,2026-08-21
2008Q2,126.84,2026-08-21
2008Q3,131.83,2026-08-21
2008Q4,128.76,2026-08-21
2009Q1,122.33,2026-08-21
2009Q2,114.82,2026-08-21
2009Q3,118.28,2026-08-21
2009Q4,117.95,2026-08-21
2010Q1,119.14,2026-08-21
2010Q2,124.22,2026-08-21
2010Q3,126.69,2026-08-21
2010Q4,128.47,2026-08-21
2011Q1,136.57,2026-08-21
2011Q2,139.69,2026-08-21
2011Q3,138.32,2026-08-21
2011Q4,141.75,2026-08-21
2012Q1,143.86,2026-08-21
2012Q2,140.62,2026-08-21
2012Q3,137.04,2026-08-21
2012Q4,130.8,2026-08-21
2013Q1,129.51,2026-08-21
2013Q2,129.43,2026-08-21
2013Q3,128.94,2026-08-21
2013Q4,123.9,2026-08-21
2014Q1,124.21,2026-08-21
2014Q2,119.67,2026-08-21
2014Q3,117.21,2026-08-21
2014Q4,112.09,2026-08-21
2015Q1,101.7,2026-08-21
2015Q2,101.42,2026-08-21
2015Q3,101.3,2026-08-21
2015Q4,96.17,2026-08-21
2016Q1,94.47,2026-08-21
2016Q2,95.68,2026-08-21
2016Q3,93.48,2026-08-21
2016Q4,100.04,2026-08-21
2017Q1,103.67,2026-08-21
2017Q2,100.51,2026-08-21
2017Q3,101.36,2026-08-21
2017Q4,103.24,2026-08-21
2018Q1,104.02,2026-08-21
2018Q2,108.22,2026-08-21
2018Q3,112.07,2026-08-21
2018Q4,110.06,2026-08-21
2019Q1,107.45,2026-08-21
2019Q2,111.54,2026-08-21
2019Q3,110.82,2026-08-21
2019Q4,108.19,2026-08-21
2020Q1,105.17,2026-08-21
2020Q2,98.51,2026-08-21
2020Q3,99.48,2026-08-21
2020Q4,96.85,2026-08-21
2021Q1,106.01,2026-08-21
2021Q2,112.92,2026-08-21
2021Q3,122.2,2026-08-21
2021Q4,129.39,2026-08-21
2022Q1,140.41,2026-08-21
2022Q2,152.64,2026-08-21
2022Q3,151.79,2026-08-21
2022Q4,147.57,2026-08-21
2023Q1,137.41,2026-08-21
2023Q2,135.03,2026-08-21
2023Q3,135.36,2026-08-21
2023Q4,136.33,2026-08-21
2024Q1,137.4,2026-08-21
2024Q2,142.66,2026-08-21
2024Q3,138.73,2026-08-21
2024Q4,139.44,2026-08-21
2025Q1,143.91,2026-08-21
2025Q2,136.05,2026-08-21
2025Q3,135.2,2026-08-21
2025Q4,140.78,2026-08-21
2026Q1,153.93,2026-08-21
2026Q2,166.33,2026-08-21
