TIME,DATA_VALUE,retrieved_at
1996Q1,11.15,2026-08-21
1996Q2,11.05,2026-08-21
1996Q3,10.86,2026-08-21
1996Q4,10.84,2026-08-21
1997Q1,11.26,2026-08-21
1997Q2,11.28,2026-08-21
1997Q3,11.51,2026-08-21
1997Q4,12.92,2026-08-21
1998Q1,17.22,2026-08-21
1998Q2,16.92,2026-08-21
1998Q3,14.88,2026-08-21
1998Q4,11.8,2026-08-21
1999Q1,10.23,2026-08-21
1999Q2,8.84,2026-08-21
1999Q3,8.4,2026-08-21
1999Q4,8.19,2026-08-21
2000Q1,8.3,2026-08-21
2000Q2,8.22,2026-08-21
2000Q3,8.09,2026-08-21
2000Q4,8.12,2026-08-21
2001Q1,8.1,2026-08-21
2001Q2,7.73,2026-08-21
2001Q3,7.32,2026-08-21
2001Q4,6.8,2026-08-21
2002Q1,6.62,2026-08-21
2002Q2,6.5,2026-08-21
2002Q3,6.45,2026-08-21
2002Q4,6.42,2026-08-21
2003Q1,6.32,2026-08-21
2003Q2,6.22,2026-08-21
2003Q3,6.03,2026-08-21
2003Q4,6.09,2026-08-21
2004Q1,6.16,2026-08-21
2004Q2,6.01,2026-08-21
2004Q3,5.87,2026-08-21
2004Q4,5.63,2026-08-21
2005Q1,5.64,2026-08-21
2005Q2,5.61,2026-08-21
2005Q3,5.59,2026-08-21
2005Q4,5.77,2026-08-21
2006Q1,5.93,2026-08-21
2006Q2,6,2026-08-21
2006Q3,6.19,2026-08-21
2006Q4,6.21,2026-08-21
2007Q1,6.41,2026-08-21
2007Q2,6.45,2026-08-21
2007Q3,6.6,2026-08-21
2007Q4,6.93,2026-08-21
2008Q1,7.04,2026-08-21
2008Q2,6.97,2026-08-21
2008Q3,7.29,2026-08-21
2008Q4,7.39,2026-08-21
2009Q1,5.66,2026-08-21
2009Q2,5.46,2026-08-21
2009Q3,5.64,2026-08-21
2009Q4,5.82,2026-08-21
2010Q1,5.83,2026-08-21
2010Q2,5.46,2026-08-21
2010Q3,5.51,2026-08-21
2010Q4,5.44,2026-08-21
2011Q1,5.83,2026-08-21
2011Q2,5.84,2026-08-21
2011Q3,5.92,2026-08-21
2011Q4,5.86,2026-08-21
2012Q1,5.79,2026-08-21
2012Q2,5.72,2026-08-21
2012Q3,5.4,2026-08-21
2012Q4,5.05,2026-08-21
2013Q1,4.98,2026-08-21
2013Q2,4.75,2026-08-21
2013Q3,4.63,2026-08-21
2013Q4,4.6,2026-08-21
2014Q1,4.59,2026-08-21
2014Q2,4.51,2026-08-21
2014Q3,4.39,2026-08-21
2014Q4,4.08,2026-08-21
2015Q1,3.95,2026-08-21
2015Q2,3.66,2026-08-21
2015Q3,3.56,2026-08-21
2015Q4,3.58,2026-08-21
2016Q1,3.58,2026-08-21
2016Q2,3.5,2026-08-21
2016Q3,3.37,2026-08-21
2016Q4,3.46,2026-08-21
2017Q1,3.52,2026-08-21
2017Q2,3.44,2026-08-21
2017Q3,3.45,2026-08-21
2017Q4,3.54,2026-08-21
2018Q1,3.68,2026-08-21
2018Q2,3.64,2026-08-21
2018Q3,3.63,2026-08-21
2018Q4,3.7,2026-08-21
2019Q1,3.77,2026-08-21
2019Q2,3.65,2026-08-21
2019Q3,3.42,2026-08-21
2019Q4,3.31,2026-08-21
2020Q1,3.15,2026-08-21
2020Q2,2.78,2026-08-21
2020Q3,2.71,2026-08-21
2020Q4,2.71,2026-08-21
2021Q1,2.71,2026-08-21
2021Q2,2.69,2026-08-21
2021Q3,2.78,2026-08-21
2021Q4,3.07,2026-08-21
2022Q1,3.35,2026-08-21
2022Q2,3.63,2026-08-21
2022Q3,4.41,2026-08-21
2022Q4,5.5,2026-08-21
2023Q1,5.36,2026-08-21
2023Q2,5.2,2026-08-21
2023Q3,5.24,2026-08-21
2023Q4,5.33,2026-08-21
2024Q1,5.07,2026-08-21
2024Q2,4.89,2026-08-21
2024Q3,4.74,2026-08-21
2024Q4,4.7,2026-08-21
2025Q1,4.42,2026-08-21
2025Q2,4.12,2026-08-21
2025Q3,4.02,2026-08-21
2025Q4,4.07,2026-08-21
2026Q1,4.16,2026-08-21
2026Q2,4.18,2026-08-21
