TIME,DATA_VALUE,retrieved_at
1996Q1,12.49,2026-08-21
1996Q2,12.13,2026-08-21
1996Q3,12.23,2026-08-21
1996Q4,12.16,2026-08-21
1997Q1,12.05,2026-08-21
1997Q2,12.14,2026-08-21
1997Q3,12.31,2026-08-21
1997Q4,12.72,2026-08-21
1998Q1,15.81,2026-08-21
1998Q2,16.43,2026-08-21
1998Q3,15.13,2026-08-21
1998Q4,13.47,2026-08-21
1999Q1,11.99,2026-08-21
1999Q2,10.98,2026-08-21
1999Q3,10.25,2026-08-21
1999Q4,10.18,2026-08-21
2000Q1,10.08,2026-08-21
2000Q2,9.93,2026-08-21
2000Q3,9.82,2026-08-21
2000Q4,9.68,2026-08-21
2001Q1,9.06,2026-08-21
2001Q2,8.6,2026-08-21
2001Q3,7.98,2026-08-21
2001Q4,7.15,2026-08-21
2002Q1,6.73,2026-08-21
2002Q2,6.94,2026-08-21
2002Q3,6.9,2026-08-21
2002Q4,7.1,2026-08-21
2003Q1,6.97,2026-08-21
2003Q2,6.65,2026-08-21
2003Q3,6.2,2026-08-21
2003Q4,6.18,2026-08-21
2004Q1,6.18,2026-08-21
2004Q2,6.03,2026-08-21
2004Q3,5.76,2026-08-21
2004Q4,5.56,2026-08-21
2005Q1,5.54,2026-08-21
2005Q2,5.35,2026-08-21
2005Q3,5.41,2026-08-21
2005Q4,5.66,2026-08-21
2006Q1,5.69,2026-08-21
2006Q2,5.66,2026-08-21
2006Q3,5.96,2026-08-21
2006Q4,5.88,2026-08-21
2007Q1,6.26,2026-08-21
2007Q2,6.34,2026-08-21
2007Q3,6.52,2026-08-21
2007Q4,6.82,2026-08-21
2008Q1,7.02,2026-08-21
2008Q2,6.96,2026-08-21
2008Q3,7.31,2026-08-21
2008Q4,7.47,2026-08-21
2009Q1,5.73,2026-08-21
2009Q2,5.48,2026-08-21
2009Q3,5.72,2026-08-21
2009Q4,6,2026-08-21
2010Q1,5.91,2026-08-21
2010Q2,5.26,2026-08-21
2010Q3,5.2,2026-08-21
2010Q4,5.15,2026-08-21
2011Q1,5.32,2026-08-21
2011Q2,5.46,2026-08-21
2011Q3,5.57,2026-08-21
2011Q4,5.51,2026-08-21
2012Q1,5.7,2026-08-21
2012Q2,5.48,2026-08-21
2012Q3,4.99,2026-08-21
2012Q4,4.71,2026-08-21
2013Q1,4.67,2026-08-21
2013Q2,4.28,2026-08-21
2013Q3,4.3,2026-08-21
2013Q4,4.17,2026-08-21
2014Q1,4.1,2026-08-21
2014Q2,4,2026-08-21
2014Q3,3.82,2026-08-21
2014Q4,3.58,2026-08-21
2015Q1,3.43,2026-08-21
2015Q2,3.15,2026-08-21
2015Q3,3.14,2026-08-21
2015Q4,3.15,2026-08-21
2016Q1,3.24,2026-08-21
2016Q2,3.13,2026-08-21
2016Q3,2.98,2026-08-21
2016Q4,3.19,2026-08-21
2017Q1,3.4,2026-08-21
2017Q2,3.43,2026-08-21
2017Q3,3.42,2026-08-21
2017Q4,3.57,2026-08-21
2018Q1,3.68,2026-08-21
2018Q2,3.72,2026-08-21
2018Q3,3.67,2026-08-21
2018Q4,3.63,2026-08-21
2019Q1,3.54,2026-08-21
2019Q2,3.41,2026-08-21
2019Q3,3.02,2026-08-21
2019Q4,2.98,2026-08-21
2020Q1,2.91,2026-08-21
2020Q2,2.79,2026-08-21
2020Q3,2.59,2026-08-21
2020Q4,2.72,2026-08-21
2021Q1,2.84,2026-08-21
2021Q2,2.91,2026-08-21
2021Q3,3.09,2026-08-21
2021Q4,3.58,2026-08-21
2022Q1,3.94,2026-08-21
2022Q2,4.14,2026-08-21
2022Q3,4.81,2026-08-21
2022Q4,5.52,2026-08-21
2023Q1,5.22,2026-08-21
2023Q2,4.82,2026-08-21
2023Q3,4.84,2026-08-21
2023Q4,4.97,2026-08-21
2024Q1,4.56,2026-08-21
2024Q2,4.41,2026-08-21
2024Q3,4.12,2026-08-21
2024Q4,4.69,2026-08-21
2025Q1,4.56,2026-08-21
2025Q2,4.28,2026-08-21
2025Q3,4.18,2026-08-21
2025Q4,4.3,2026-08-21
2026Q1,4.49,2026-08-21
2026Q2,4.46,2026-08-21
