TIME,DATA_VALUE,retrieved_at
1990Q1,40.568,2026-08-05
1990Q2,41.624,2026-08-05
1990Q3,42.134,2026-08-05
1990Q4,42.567,2026-08-05
1991Q1,44.114,2026-08-05
1991Q2,45.17,2026-08-05
1991Q3,45.944,2026-08-05
1991Q4,46.509,2026-08-05
1992Q1,47.434,2026-08-05
1992Q2,48.377,2026-08-05
1992Q3,48.584,2026-08-05
1992Q4,48.942,2026-08-05
1993Q1,49.942,2026-08-05
1993Q2,50.96,2026-08-05
1993Q3,51.187,2026-08-05
1993Q4,51.47,2026-08-05
1994Q1,52.638,2026-08-05
1994Q2,53.638,2026-08-05
1994Q3,54.242,2026-08-05
1994Q4,54.45,2026-08-05
1995Q1,55.373,2026-08-05
1995Q2,56.41,2026-08-05
1995Q3,57.052,2026-08-05
1995Q4,57.524,2026-08-05
1996Q1,58.486,2026-08-05
1996Q2,59.333,2026-08-05
1996Q3,59.806,2026-08-05
1996Q4,60.108,2026-08-05
1997Q1,60.654,2026-08-05
1997Q2,61.314,2026-08-05
1997Q3,61.786,2026-08-05
1997Q4,62.258,2026-08-05
1998Q1,64.181,2026-08-05
1998Q2,64.728,2026-08-05
1998Q3,64.501,2026-08-05
1998Q4,64.37,2026-08-05
1999Q1,64.352,2026-08-05
1999Q2,64.333,2026-08-05
1999Q3,64.219,2026-08-05
1999Q4,64.333,2026-08-05
2000Q1,64.937,2026-08-05
2000Q2,65.243,2026-08-05
2000Q3,65.679,2026-08-05
2000Q4,66.071,2026-08-05
2001Q1,67.119,2026-08-05
2001Q2,67.818,2026-08-05
2001Q3,67.971,2026-08-05
2001Q4,68.21,2026-08-05
2002Q1,68.953,2026-08-05
2002Q2,69.826,2026-08-05
2002Q3,70.088,2026-08-05
2002Q4,70.612,2026-08-05
2003Q1,71.42,2026-08-05
2003Q2,72.227,2026-08-05
2003Q3,72.336,2026-08-05
2003Q4,72.577,2026-08-05
2004Q1,73.254,2026-08-05
2004Q2,73.799,2026-08-05
2004Q3,74.17,2026-08-05
2004Q4,74.236,2026-08-05
2005Q1,75.205,2026-08-05
2005Q2,75.584,2026-08-05
2005Q3,75.685,2026-08-05
2005Q4,75.836,2026-08-05
2006Q1,76.439,2026-08-05
2006Q2,77.069,2026-08-05
2006Q3,77.297,2026-08-05
2006Q4,77.524,2026-08-05
2007Q1,78.305,2026-08-05
2007Q2,79.035,2026-08-05
2007Q3,79.262,2026-08-05
2007Q4,79.539,2026-08-05
2008Q1,80.547,2026-08-05
2008Q2,81.655,2026-08-05
2008Q3,82.336,2026-08-05
2008Q4,82.915,2026-08-05
2009Q1,83.595,2026-08-05
2009Q2,84.149,2026-08-05
2009Q3,84.527,2026-08-05
2009Q4,84.854,2026-08-05
2010Q1,85.357,2026-08-05
2010Q2,85.643,2026-08-05
2010Q3,86.073,2026-08-05
2010Q4,86.273,2026-08-05
2011Q1,87.189,2026-08-05
2011Q2,87.932,2026-08-05
2011Q3,88.419,2026-08-05
2011Q4,88.59,2026-08-05
2012Q1,89.109,2026-08-05
2012Q2,89.229,2026-08-05
2012Q3,89.515,2026-08-05
2012Q4,89.801,2026-08-05
2013Q1,90.411,2026-08-05
2013Q2,90.588,2026-08-05
2013Q3,90.817,2026-08-05
2013Q4,91.263,2026-08-05
2014Q1,91.801,2026-08-05
2014Q2,92.239,2026-08-05
2014Q3,92.52,2026-08-05
2014Q4,92.586,2026-08-05
2015Q1,94.005,2026-08-05
2015Q2,94.307,2026-08-05
2015Q3,94.834,2026-08-05
2015Q4,94.953,2026-08-05
2016Q1,95.747,2026-08-05
2016Q2,96.233,2026-08-05
2016Q3,96.626,2026-08-05
2016Q4,96.582,2026-08-05
2017Q1,97.404,2026-08-05
2017Q2,97.704,2026-08-05
2017Q3,98.025,2026-08-05
2017Q4,97.972,2026-08-05
2018Q1,98.536,2026-08-05
2018Q2,99.03,2026-08-05
2018Q3,99.055,2026-08-05
2018Q4,99.049,2026-08-05
2019Q1,99.487,2026-08-05
2019Q2,99.679,2026-08-05
2019Q3,99.78,2026-08-05
2019Q4,99.638,2026-08-05
2020Q1,99.89,2026-08-05
2020Q2,99.91,2026-08-05
2020Q3,100.23,2026-08-05
2020Q4,99.97,2026-08-05
2021Q1,100.69,2026-08-05
2021Q2,101.09,2026-08-05
2021Q3,101.58,2026-08-05
2021Q4,102.13,2026-08-05
2022Q1,103.48,2026-08-05
2022Q2,104.57,2026-08-05
2022Q3,105.69,2026-08-05
2022Q4,106.37,2026-08-05
2023Q1,107.57,2026-08-05
2023Q2,108.41,2026-08-05
2023Q3,109.03,2026-08-05
2023Q4,109.47,2026-08-05
2024Q1,110.26,2026-08-05
2024Q2,110.84,2026-08-05
2024Q3,111.28,2026-08-05
2024Q4,111.47,2026-08-05
2025Q1,112.32,2026-08-05
2025Q2,113.07,2026-08-05
2025Q3,113.22,2026-08-05
2025Q4,113.75,2026-08-05
2026Q1,114.75,2026-08-05
2026Q2,115.78,2026-08-05
