TIME,DATA_VALUE,retrieved_at
20080102,5.83,2026-08-05
20080103,5.83,2026-08-05
20080104,5.8,2026-08-05
20080107,5.76,2026-08-05
20080108,5.75,2026-08-05
20080109,5.71,2026-08-05
20080110,5.66,2026-08-05
20080111,5.57,2026-08-05
20080114,5.57,2026-08-05
20080115,5.51,2026-08-05
20080116,5.48,2026-08-05
20080117,5.54,2026-08-05
20080118,5.48,2026-08-05
20080121,5.46,2026-08-05
20080122,5.42,2026-08-05
20080123,5.16,2026-08-05
20080124,5.16,2026-08-05
20080125,5.21,2026-08-05
20080128,5.14,2026-08-05
20080129,5.14,2026-08-05
20080130,5.13,2026-08-05
20080131,5.07,2026-08-05
20080201,5.07,2026-08-05
20080204,5.11,2026-08-05
20080205,5.09,2026-08-05
20080211,5.07,2026-08-05
20080212,5.06,2026-08-05
20080213,5,2026-08-05
20080214,4.99,2026-08-05
20080215,4.96,2026-08-05
20080218,4.94,2026-08-05
20080219,4.96,2026-08-05
20080220,4.95,2026-08-05
20080221,4.99,2026-08-05
20080222,4.96,2026-08-05
20080225,4.98,2026-08-05
20080226,4.99,2026-08-05
20080227,4.98,2026-08-05
20080228,4.97,2026-08-05
20080229,4.94,2026-08-05
20080303,4.91,2026-08-05
20080304,4.91,2026-08-05
20080305,4.9,2026-08-05
20080306,4.91,2026-08-05
20080307,4.92,2026-08-05
20080310,4.99,2026-08-05
20080311,5,2026-08-05
20080312,5,2026-08-05
20080313,5.06,2026-08-05
20080314,5.06,2026-08-05
20080317,5.11,2026-08-05
20080318,5.05,2026-08-05
20080319,5.12,2026-08-05
20080320,5.1,2026-08-05
20080321,5.09,2026-08-05
20080324,5.15,2026-08-05
20080325,5.15,2026-08-05
20080326,5.16,2026-08-05
20080327,5.14,2026-08-05
20080328,5.15,2026-08-05
20080331,5.12,2026-08-05
20080401,5.14,2026-08-05
20080402,5.14,2026-08-05
20080403,5.16,2026-08-05
20080404,5.16,2026-08-05
20080407,5.16,2026-08-05
20080408,5.12,2026-08-05
20080410,5.03,2026-08-05
20080411,5.04,2026-08-05
20080414,5.04,2026-08-05
20080415,5.03,2026-08-05
20080416,5.03,2026-08-05
20080417,5.03,2026-08-05
20080418,5.07,2026-08-05
20080421,5.07,2026-08-05
20080422,5.05,2026-08-05
20080423,5.06,2026-08-05
20080424,5.04,2026-08-05
20080425,5.04,2026-08-05
20080428,5.02,2026-08-05
20080429,5.01,2026-08-05
20080430,4.99,2026-08-05
20080502,4.99,2026-08-05
20080506,5,2026-08-05
20080507,5.02,2026-08-05
20080508,5.14,2026-08-05
20080509,5.15,2026-08-05
20080513,5.2,2026-08-05
