quarter,variable,baseline,scenario,diff
2026Q1,rff,3.7853,4.7853,1.0
2026Q2,rff,3.6728,4.6728,1.0
2026Q3,rff,3.5602,4.5602,1.0
2026Q4,rff,3.4477,4.4477,1.0
2027Q1,rff,3.3523,4.1023,0.75
2027Q2,rff,3.2743,3.7958,0.5216
2027Q3,rff,3.1962,3.5143,0.3182
2027Q4,rff,3.1181,3.26,0.1419
2028Q1,rff,3.0819,3.0745,-0.0074
2028Q2,rff,3.0875,2.9574,-0.1301
2028Q3,rff,3.093,2.8653,-0.2277
2028Q4,rff,3.0986,2.7966,-0.302
2026Q1,rg10,4.1272,4.4587,0.3315
2026Q2,rg10,4.1128,4.383,0.2703
2026Q3,rg10,4.1008,4.5255,0.4247
2026Q4,rg10,4.0913,4.4593,0.3679
2027Q1,rg10,4.0846,4.4133,0.3286
2027Q2,rg10,4.0802,4.3715,0.2913
2027Q3,rg10,4.0777,4.3034,0.2257
2027Q4,rg10,4.0772,4.2597,0.1825
2028Q1,rg10,4.0788,4.2176,0.1389
2028Q2,rg10,4.0812,4.1809,0.0997
2028Q3,rg10,4.0834,4.1474,0.064
2028Q4,rg10,4.0851,4.118,0.0329
2026Q1,picxfe,2.7319,2.7319,0.0
2026Q2,picxfe,2.7269,2.7168,-0.0102
2026Q3,picxfe,2.6613,2.6383,-0.023
2026Q4,picxfe,2.5366,2.5062,-0.0304
2027Q1,picxfe,2.3542,2.3131,-0.0411
2027Q2,picxfe,2.2106,2.1632,-0.0473
2027Q3,picxfe,2.1045,2.0537,-0.0509
2027Q4,picxfe,2.0353,1.9823,-0.053
2028Q1,picxfe,2.0021,1.9485,-0.0535
2028Q2,picxfe,1.9802,1.9269,-0.0532
2028Q3,picxfe,1.9694,1.917,-0.0524
2028Q4,picxfe,1.9695,1.9183,-0.0512
2026Q1,xgap2,-0.5228,-0.5221,0.0007
2026Q2,xgap2,-0.552,-0.7366,-0.1846
2026Q3,xgap2,-0.5087,-0.8232,-0.3145
2026Q4,xgap2,-0.4656,-0.9713,-0.5057
2027Q1,xgap2,-0.4218,-1.0495,-0.6277
2027Q2,xgap2,-0.3767,-1.0961,-0.7194
2027Q3,xgap2,-0.3297,-1.1007,-0.771
2027Q4,xgap2,-0.2807,-1.0655,-0.7848
2028Q1,xgap2,-0.2298,-1.0062,-0.7764
2028Q2,xgap2,-0.1784,-0.9249,-0.7465
2028Q3,xgap2,-0.1297,-0.8312,-0.7015
2028Q4,xgap2,-0.088,-0.7318,-0.6438
