quarter,variable,baseline,scenario,diff
2026Q1,rff,3.7853,4.0353,0.25
2026Q2,rff,3.6728,3.8781,0.2053
2026Q3,rff,3.5602,3.7236,0.1633
2026Q4,rff,3.4477,3.5697,0.122
2027Q1,rff,3.3523,3.4374,0.0851
2027Q2,rff,3.2743,3.3263,0.052
2027Q3,rff,3.1962,3.2197,0.0235
2027Q4,rff,3.1181,3.1174,-0.0007
2028Q1,rff,3.0819,3.0612,-0.0207
2028Q2,rff,3.0875,3.0509,-0.0366
2028Q3,rff,3.093,3.0443,-0.0487
2028Q4,rff,3.0986,3.0413,-0.0574
2026Q1,rg10,4.1272,4.2101,0.0829
2026Q2,rg10,4.1128,4.1654,0.0526
2026Q3,rg10,4.1008,4.1809,0.0801
2026Q4,rg10,4.0913,4.1391,0.0478
2027Q1,rg10,4.0846,4.1298,0.0452
2027Q2,rg10,4.0802,4.1167,0.0365
2027Q3,rg10,4.0777,4.1072,0.0295
2027Q4,rg10,4.0772,4.0994,0.0222
2028Q1,rg10,4.0788,4.0947,0.0159
2028Q2,rg10,4.0812,4.0914,0.0102
2028Q3,rg10,4.0834,4.0885,0.0052
2028Q4,rg10,4.0851,4.086,0.0008
2026Q1,picxfe,2.7319,2.7319,0.0
2026Q2,picxfe,2.7269,2.7244,-0.0025
2026Q3,picxfe,2.6613,2.656,-0.0053
2026Q4,picxfe,2.5366,2.5304,-0.0062
2027Q1,picxfe,2.3542,2.3467,-0.0076
2027Q2,picxfe,2.2106,2.2024,-0.0081
2027Q3,picxfe,2.1045,2.0961,-0.0084
2027Q4,picxfe,2.0353,2.0268,-0.0085
2028Q1,picxfe,2.0021,1.9936,-0.0084
2028Q2,picxfe,1.9802,1.9719,-0.0083
2028Q3,picxfe,1.9694,1.9613,-0.0081
2028Q4,picxfe,1.9695,1.9616,-0.0079
2026Q1,xgap2,-0.5228,-0.5226,0.0002
2026Q2,xgap2,-0.552,-0.5989,-0.0469
2026Q3,xgap2,-0.5087,-0.5803,-0.0716
2026Q4,xgap2,-0.4656,-0.5725,-0.1069
2027Q1,xgap2,-0.4218,-0.5381,-0.1162
2027Q2,xgap2,-0.3767,-0.5018,-0.1251
2027Q3,xgap2,-0.3297,-0.4563,-0.1266
2027Q4,xgap2,-0.2807,-0.4064,-0.1257
2028Q1,xgap2,-0.2298,-0.351,-0.1213
2028Q2,xgap2,-0.1784,-0.2926,-0.1142
2028Q3,xgap2,-0.1297,-0.2346,-0.1049
2028Q4,xgap2,-0.088,-0.1822,-0.0941
