quarter,output_gap_hp_proxy_pct,core_cpi_yoy_pct,target_rate_pct,rule_path_pct,actual_base_rate_pct,market_msb1y_pct,spread_target_minus_actual_bp
2010Q1,-0.034,2.108,4.252,2.338,2.0,2.72,225.245
2010Q2,0.651,1.775,3.764,2.552,2.0,3.13,176.398
2010Q3,0.752,1.829,3.948,2.761,2.25,2.9,169.837
2010Q4,1.252,1.672,3.807,2.918,2.5,3.11,130.671
2011Q1,1.312,2.146,5.022,3.234,3.0,3.59,202.163
2011Q2,0.867,2.673,6.115,3.666,3.25,3.7,286.508
2011Q3,0.462,2.726,6.045,4.023,3.25,3.56,279.478
2011Q4,0.275,2.686,5.852,4.297,3.25,3.5,260.172
2012Q1,0.383,2.202,4.697,4.357,3.25,3.53,144.66
2012Q2,-0.03,1.475,2.672,4.104,3.25,3.29,-57.758
2012Q3,-0.411,1.24,1.894,3.773,3.0,2.84,-110.647
2012Q4,-0.487,1.367,2.174,3.533,2.75,2.78,-57.591
2013Q1,-0.508,1.461,2.399,3.363,2.75,2.57,-35.101
2013Q2,-0.189,1.523,2.713,3.265,2.5,2.69,21.32
2013Q3,0.01,1.455,2.641,3.172,2.5,2.67,14.139
2013Q4,0.089,1.628,3.115,3.163,2.5,2.687,61.483
2014Q1,0.066,1.537,2.877,3.12,2.5,2.665,37.656
2014Q2,0.229,1.823,3.671,3.203,2.5,2.599,117.072
2014Q3,-0.291,1.875,3.543,3.254,2.25,2.211,129.253
2014Q4,-0.532,1.45,2.358,3.119,2.0,2.087,35.813
2015Q1,-0.439,2.401,4.783,3.369,1.75,1.715,303.268
2015Q2,-0.773,2.242,4.219,3.496,1.5,1.611,271.871
2015Q3,-0.058,2.501,5.224,3.755,1.5,1.525,372.386
2015Q4,-0.04,2.557,5.372,3.998,1.5,1.632,387.158
2016Q1,-0.4,1.853,3.433,3.913,1.5,1.48,193.265
2016Q2,0.109,2.042,4.16,3.95,1.25,1.284,290.993
2016Q3,-0.233,1.89,3.607,3.899,1.25,1.313,235.734
2016Q4,-0.184,1.716,3.197,3.793,1.25,1.564,194.714
2017Q1,0.237,1.731,3.445,3.741,1.25,1.473,219.486
2017Q2,0.266,1.529,2.955,3.623,1.25,1.469,170.464
2017Q3,0.95,1.448,3.094,3.544,1.25,1.541,184.44
2017Q4,0.068,1.439,2.632,3.407,1.5,1.867,113.174
2018Q1,0.852,1.162,2.331,3.246,1.5,1.887,83.124
2018Q2,1.006,1.357,2.896,3.193,1.5,1.854,139.567
2018Q3,0.935,1.051,2.094,3.028,1.5,1.895,59.43
2018Q4,0.87,1.099,2.183,2.902,1.75,1.84,43.332
2019Q1,0.316,0.965,1.571,2.702,1.75,1.763,-17.915
2019Q2,1.085,0.655,1.181,2.474,1.75,1.547,-56.903
2019Q3,0.79,0.732,1.225,2.287,1.5,1.333,-27.504
2019Q4,1.183,0.595,1.078,2.105,1.25,1.369,-17.192
2020Q1,-0.747,0.405,-0.361,1.735,0.75,1.008,-111.081
2020Q2,-3.978,0.232,-2.41,1.114,0.5,0.676,-290.954
2020Q3,-2.3,0.451,-1.022,0.793,0.5,0.674,-152.241
2020Q4,-1.359,0.333,-0.846,0.547,0.5,0.747,-134.639
2021Q1,-0.342,0.801,0.831,0.59,0.5,0.667,33.125
2021Q2,0.437,1.181,2.171,0.827,0.5,0.994,167.134
2021Q3,-0.147,1.347,2.294,1.047,0.75,1.102,154.356
2021Q4,1.022,2.161,4.912,1.627,1.0,1.304,391.247
2022Q1,0.921,2.771,6.388,2.341,1.25,1.788,513.753
2022Q2,1.349,3.442,8.281,3.232,1.75,2.843,653.073
2022Q3,1.044,4.046,9.637,4.193,2.5,3.65,713.703
2022Q4,0.082,4.152,9.42,4.977,3.25,3.796,616.982
2023Q1,-0.258,3.952,8.752,5.543,3.5,3.295,525.208
2023Q2,-0.138,3.672,8.112,5.928,3.5,3.604,461.162
2023Q3,0.248,3.16,7.024,6.093,3.5,3.684,352.448
2023Q4,0.407,2.914,6.489,6.152,3.5,3.41,298.924
2024Q1,0.84,2.501,5.672,6.08,3.5,3.356,217.157
2024Q2,0.107,2.241,4.657,5.867,3.5,3.337,115.709
2024Q3,-0.429,2.064,3.945,5.578,3.5,2.844,44.478
2024Q4,-0.794,1.827,3.17,5.217,3.0,2.701,17.026
2025Q1,-1.582,1.868,2.88,4.867,2.75,2.623,12.986
2025Q2,-1.564,2.012,3.248,4.624,2.5,2.298,74.783
2025Q3,-0.856,1.743,2.93,4.37,2.5,2.316,43.045
2025Q4,-1.623,2.045,3.302,4.21,2.5,2.511,80.182
2026Q1,-0.481,2.163,4.168,4.203,2.5,2.846,166.798
2026Q2,-0.545,2.397,4.719,4.281,2.5,3.022,221.946
2026Q3,,,,,2.75,3.252,
