date,value,position,hold,dailyPnl,cumulativePnl
2014-06-03,-0.8,0,0,0.0,0.0
2014-06-05,-1.05,0,0,0.0,0.0
2014-06-09,-1.3,0,0,0.0,0.0
2014-06-10,-0.8,0,0,0.0,0.0
2014-06-11,-1.25,0,0,0.0,0.0
2014-06-12,-1.25,0,0,0.0,0.0
2014-06-13,-2.5,0,0,0.0,0.0
2014-06-16,-3.65,0,0,0.0,0.0
2014-06-17,-3.0,0,0,0.0,0.0
2014-06-18,-3.8,0,0,0.0,0.0
2014-06-19,-5.4,0,0,0.0,0.0
2014-06-20,-4.75,0,0,0.0,0.0
2014-06-23,-3.0,0,0,0.0,0.0
2014-06-24,-4.0,0,0,0.0,0.0
2014-06-25,-2.7,0,0,0.0,0.0
2014-06-26,-0.75,0,0,0.0,0.0
2014-06-27,0.45,0,0,0.0,0.0
2014-06-30,0.2,0,0,0.0,0.0
2014-07-01,-0.75,0,0,0.0,0.0
2014-07-02,-3.75,0,0,0.0,0.0
2014-07-03,-2.8,0,0,0.0,0.0
2014-07-04,-1.35,0,0,0.0,0.0
2014-07-07,-1.75,0,0,0.0,0.0
2014-07-08,-1.25,0,0,0.0,0.0
2014-07-09,-3.0,0,0,0.0,0.0
2014-07-10,-0.8,0,0,0.0,0.0
2014-07-11,-0.3,0,0,0.0,0.0
2014-07-14,0.5,0,0,0.0,0.0
2014-07-15,1.2,0,0,0.0,0.0
2014-07-16,0.45,0,0,0.0,0.0
2014-07-17,-0.75,0,0,0.0,0.0
2014-07-18,-1.7,0,0,0.0,0.0
2014-07-21,-2.75,0,0,0.0,0.0
2014-07-22,-3.4,0,0,0.0,0.0
2014-07-23,-4.25,0,0,0.0,0.0
2014-07-24,-2.8,0,0,0.0,0.0
2014-07-25,-3.05,0,0,0.0,0.0
2014-07-28,-2.4,0,0,0.0,0.0
2014-07-29,-1.75,0,0,0.0,0.0
2014-07-30,-3.0,0,0,0.0,0.0
2014-07-31,-3.5,0,0,0.0,0.0
2014-08-01,-2.4,0,0,0.0,0.0
2014-08-04,-2.75,0,0,0.0,0.0
2014-08-05,-4.25,0,0,0.0,0.0
2014-08-06,-4.0,0,0,0.0,0.0
2014-08-07,-4.25,0,0,0.0,0.0
2014-08-08,-3.75,0,0,0.0,0.0
2014-08-11,-3.5,0,0,0.0,0.0
2014-08-12,-4.05,0,0,0.0,0.0
2014-08-13,-4.8,0,0,0.0,0.0
2014-08-14,-2.0,0,0,0.0,0.0
2014-08-18,0.25,0,0,0.0,0.0
2014-08-19,1.2,0,0,0.0,0.0
2014-08-20,0.7,0,0,0.0,0.0
2014-08-21,0.5,0,0,0.0,0.0
2014-08-22,0.7,0,0,0.0,0.0
2014-08-25,0.7,0,0,0.0,0.0
2014-08-26,0.2,0,0,0.0,0.0
2014-08-27,0.7,0,0,0.0,0.0
2014-08-28,0.7,0,0,0.0,0.0
2014-08-29,-0.05,0,0,0.0,0.0
2014-09-01,0.2,0,0,0.0,0.0
2014-09-02,0.75,0,0,0.0,0.0
2014-09-03,1.45,0,0,0.0,0.0
2014-09-04,2.0,0,0,0.0,0.0
2014-09-05,1.25,0,0,0.0,0.0
2014-09-11,1.2,0,0,0.0,0.0
2014-09-12,-1.25,0,0,0.0,0.0
2014-09-15,-1.75,0,0,0.0,0.0
2014-09-16,-3.3,0,0,0.0,0.0
2014-09-17,-1.75,0,0,0.0,0.0
2014-09-18,-1.8,0,0,0.0,0.0
2014-09-19,-1.0,0,0,0.0,0.0
2014-09-22,-0.8,0,0,0.0,0.0
2014-09-23,-0.9,0,0,0.0,0.0
2014-09-24,-2.25,0,0,0.0,0.0
2014-09-25,-2.55,0,0,0.0,0.0
2014-09-26,-2.25,0,0,0.0,0.0
2014-09-29,-1.8,0,0,0.0,0.0
2014-09-30,-2.3,0,0,0.0,0.0
2014-10-01,-4.3,0,0,0.0,0.0
2014-10-02,-1.3,0,0,0.0,0.0
2014-10-06,0.25,0,0,0.0,0.0
2014-10-07,1.45,0,0,0.0,0.0
2014-10-08,0.7,0,0,0.0,0.0
2014-10-10,1.45,0,0,0.0,0.0
2014-10-13,1.5,0,0,0.0,0.0
2014-10-14,1.5,0,0,0.0,0.0
2014-10-15,1.95,0,0,0.0,0.0
2014-10-16,3.5,0,0,0.0,0.0
2014-10-17,5.0,0,0,0.0,0.0
2014-10-20,4.45,0,0,0.0,0.0
2014-10-21,4.2,0,0,0.0,0.0
2014-10-22,3.2,0,0,0.0,0.0
