,KTB_3Y_bp,KTB_10Y_bp,slope_10y_3y_bp
2020-01-02,132.29999999999998,162.5,30.200000000000017
2020-01-03,127.1,156.0,28.900000000000006
2020-01-06,128.0,155.7,27.69999999999999
2020-01-07,133.5,163.3,29.80000000000001
2020-01-08,136.6,163.5,26.900000000000006
2020-01-09,141.5,168.5,27.0
2020-01-10,141.8,170.9,29.099999999999994
2020-01-13,140.6,173.2,32.599999999999994
2020-01-14,138.70000000000002,171.50000000000003,32.80000000000001
2020-01-15,139.1,169.6,30.5
2020-01-16,142.5,170.5,28.0
2020-01-17,142.2,174.0,31.80000000000001
2020-01-20,145.2,175.6,30.400000000000006
2020-01-21,139.99999999999997,169.20000000000002,29.200000000000045
2020-01-22,143.5,173.0,29.5
2020-01-23,142.4,170.0,27.599999999999994
2020-01-28,134.7,160.1,25.400000000000006
2020-01-29,132.20000000000002,157.5,25.299999999999983
2020-01-30,130.20000000000002,155.7,25.49999999999997
2020-01-31,131.2,156.2,25.0
2020-02-03,129.0,155.5,26.5
2020-02-04,133.5,163.2,29.69999999999999
2020-02-05,131.2,160.2,29.0
2020-02-06,130.20000000000002,161.5,31.299999999999983
2020-02-07,127.69999999999999,160.2,32.5
2020-02-10,129.5,160.49999999999997,30.99999999999997
2020-02-11,129.20000000000002,159.7,30.49999999999997
2020-02-12,129.20000000000002,161.5,32.29999999999998
2020-02-13,127.2,160.49999999999997,33.29999999999997
2020-02-14,133.0,165.70000000000002,32.70000000000002
2020-02-17,131.0,161.5,30.5
2020-02-18,127.0,155.5,28.5
2020-02-19,128.0,155.5,27.5
2020-02-20,124.50000000000001,153.0,28.499999999999986
2020-02-21,118.7,144.7,25.999999999999986
2020-02-24,114.5,142.0,27.5
2020-02-25,118.0,144.0,26.0
2020-02-26,113.50000000000001,140.5,26.999999999999986
2020-02-27,119.2,144.5,25.299999999999997
2020-02-28,110.00000000000001,132.7,22.699999999999974
2020-03-02,112.5,137.5,25.0
2020-03-03,111.9,138.0,26.099999999999994
2020-03-04,103.60000000000001,129.8,26.200000000000003
2020-03-05,105.0,134.8,29.80000000000001
2020-03-06,107.2,137.0,29.799999999999997
2020-03-09,102.2,126.0,23.799999999999997
2020-03-10,108.5,136.0,27.5
2020-03-11,107.49999999999999,136.5,29.000000000000014
2020-03-12,105.0,137.5,32.5
2020-03-13,115.19999999999999,161.9,46.70000000000002
2020-03-16,106.0,151.8,45.80000000000001
2020-03-17,101.5,142.7,41.19999999999999
2020-03-18,105.49999999999999,151.0,45.500000000000014
2020-03-19,119.8,167.0,47.2
2020-03-20,112.5,162.99999999999997,50.49999999999997
2020-03-23,116.5,173.7,57.19999999999999
2020-03-24,113.50000000000001,172.2,58.699999999999974
2020-03-25,110.2,162.00000000000003,51.800000000000026
2020-03-26,107.2,150.5,43.3
2020-03-27,106.69999999999999,153.7,47.0
2020-03-30,110.49999999999999,156.7,46.2
2020-03-31,107.00000000000001,155.20000000000002,48.2
2020-04-01,109.0,155.5,46.5
