date,weekday,holidays.KR,QuantLib.SouthKorea.Settlement,QuantLib.SouthKorea.KRX,exchange_calendars.XKRX,n_say_business,n_say_holiday
2015-05-01,Fri,business,holiday,holiday,holiday,1,3
2015-12-31,Thu,business,business,holiday,holiday,2,2
2016-05-06,Fri,holiday,business,holiday,holiday,1,3
2016-12-30,Fri,business,business,holiday,holiday,2,2
2017-05-01,Mon,business,holiday,holiday,holiday,1,3
2017-10-02,Mon,holiday,business,holiday,holiday,1,3
2017-12-29,Fri,business,business,holiday,holiday,2,2
2018-05-01,Tue,business,holiday,holiday,holiday,1,3
2018-12-31,Mon,business,business,holiday,holiday,2,2
2019-05-01,Wed,business,holiday,holiday,holiday,1,3
2019-12-31,Tue,business,business,holiday,holiday,2,2
2020-05-01,Fri,business,holiday,holiday,holiday,1,3
2020-12-31,Thu,business,business,holiday,holiday,2,2
2021-12-31,Fri,business,business,holiday,holiday,2,2
2022-12-30,Fri,business,business,holiday,holiday,2,2
2023-05-01,Mon,business,holiday,holiday,holiday,1,3
2023-12-29,Fri,business,business,holiday,holiday,2,2
2024-05-01,Wed,business,holiday,holiday,holiday,1,3
2024-12-31,Tue,business,business,holiday,holiday,2,2
2025-01-27,Mon,holiday,business,business,holiday,2,2
2025-05-01,Thu,business,holiday,holiday,holiday,1,3
2025-06-03,Tue,holiday,business,business,holiday,2,2
2025-12-31,Wed,business,business,holiday,holiday,2,2
2026-05-01,Fri,business,holiday,holiday,holiday,1,3
2026-06-03,Wed,holiday,business,business,business,3,1
2026-07-17,Fri,holiday,business,business,business,3,1
2026-12-31,Thu,business,business,holiday,holiday,2,2
