tenor,tenor_days,wide_total,long_total,residual
3M,90.0,0.0,0.0,0.0
6M,180.0,0.0,0.0,0.0
9M,270.0,0.0,0.0,0.0
1Y,365.0,0.0,0.0,0.0
1.5Y,547.5,0.0,0.0,0.0
2Y,730.0,0.0,0.0,0.0
2.5Y,912.5,0.0,0.0,0.0
3Y,1095.0,0.0,0.0,0.0
5Y,1825.0,3.725290298461914e-09,3.725290298461914e-09,0.0
7Y,2555.0,-7.450580596923828e-09,0.0,7.450580596923828e-09
10Y,3650.0,7.450580596923828e-09,-7.450580596923828e-09,-1.4901161193847656e-08
20Y,7300.0,1.4901161193847656e-08,0.0,-1.4901161193847656e-08
30Y,10950.0,-2.9802322387695312e-08,0.0,2.9802322387695312e-08
