tenor_label,tenor_days,value
1D,1.0,-27395.00262553705
3M,90.0,7322.4220528746955
6M,180.0,-4939921.202544672
9M,270.0,-7377077.696401229
1Y,365.0,-9791402.894861275
1.5Y,547.5,-14549540.380890595
2Y,730.0,-19215222.174720936
2.5Y,912.5,0.0
3Y,1095.0,-28271372.393260956
4Y,1460.0,-36965731.86013539
5Y,1825.0,-45308857.37025505
6Y,2190.0,-53313414.389061764
7Y,2555.0,-60988654.23087475
8Y,2920.0,-68349658.76857945
9Y,3285.0,-75409575.61271107
10Y,3650.0,-82176526.71456537
20Y,7300.0,0.0
30Y,10950.0,0.0
