,change_bp,ruptures(pen=20),MarkovRegression(k=2),hmmlearn(states=2)
2020-01-03,-6.5,0,0,0
2020-01-06,-0.30000000000001137,0,0,0
2020-01-07,7.600000000000023,0,0,0
2020-01-08,0.19999999999998863,0,0,0
2020-01-09,5.0,0,0,0
2020-01-10,2.4000000000000057,0,0,0
2020-01-13,2.299999999999983,0,0,0
2020-01-14,-1.6999999999999602,0,0,0
2020-01-15,-1.900000000000034,0,0,0
2020-01-16,0.9000000000000057,0,0,0
2020-01-17,3.5,0,0,0
2020-01-20,1.5999999999999943,0,0,0
2020-01-21,-6.399999999999977,0,0,0
2020-01-22,3.799999999999983,0,0,0
2020-01-23,-3.0,0,0,0
2020-01-28,-9.900000000000006,0,0,0
2020-01-29,-2.5999999999999943,0,0,0
2020-01-30,-1.8000000000000114,0,0,0
2020-01-31,0.5,0,0,0
2020-02-03,-0.6999999999999886,0,0,0
2020-02-04,7.699999999999989,0,0,0
2020-02-05,-3.0,0,0,0
2020-02-06,1.3000000000000114,0,0,0
2020-02-07,-1.3000000000000114,0,0,0
2020-02-10,0.29999999999998295,0,0,0
2020-02-11,-0.799999999999983,0,0,0
2020-02-12,1.8000000000000114,0,0,0
2020-02-13,-1.0000000000000284,0,0,0
2020-02-14,5.2000000000000455,0,0,0
2020-02-17,-4.200000000000017,0,0,0
2020-02-18,-6.0,0,0,0
2020-02-19,0.0,0,0,0
2020-02-20,-2.5,0,0,0
2020-02-21,-8.300000000000011,0,1,0
2020-02-24,-2.6999999999999886,0,1,0
2020-02-25,2.0,0,1,0
2020-02-26,-3.5,0,1,0
2020-02-27,4.0,0,1,0
2020-02-28,-11.800000000000011,0,1,1
2020-03-02,4.800000000000011,0,1,1
2020-03-03,0.5,0,1,1
2020-03-04,-8.199999999999989,0,1,1
2020-03-05,5.0,0,1,1
2020-03-06,2.1999999999999886,0,1,1
2020-03-09,-11.0,0,1,1
2020-03-10,10.0,0,1,1
2020-03-11,0.5,0,1,1
2020-03-12,1.0,0,1,1
