method,param,breakpoints,high_vol_share,switches,agree_with_base
ruptures,pen=5,2.0,0.2694427434170239,2,0.7305572565829761
ruptures,pen=10,2.0,0.2694427434170239,2,0.7305572565829761
ruptures,pen=20,0.0,0.0,0,1.0
ruptures,pen=50,0.0,0.0,0,1.0
ruptures,pen=100,0.0,0.0,0,1.0
MarkovRegression,k=2,,0.3214941824862217,12,1.0
MarkovRegression,k=3,,0.23882424984690753,10,0.9173300673606859
hmmlearn,seed=0,,0.3080220453153705,8,1.0
hmmlearn,seed=1,,0.3080220453153705,8,1.0
hmmlearn,seed=2,,0.30985915492957744,9,0.998162890385793
hmmlearn,seed=3,,0.3080220453153705,8,1.0
hmmlearn,seed=4,,0.3080220453153705,8,1.0
hmmlearn,states=2,,0.3080220453153705,8,1.0
hmmlearn,states=3,,0.15737905695039803,502,0.848132271892223
hmmlearn,states=4,,0.21861604409063073,8,0.9105939987752603
